Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type
ACT-CLJ0200.3+0019,0.00014642043114947593,0.8980397829798825,-0.011825297706245965,0.0,13862.332919408682,0.0009953575033760623,-0.07428968844886136,418.30867734818673,21.0
ACT-CLJ0201.6-0211,0.00016979552131374452,1.5126372062699953,0.37715151075470893,0.0,16234.224718139953,-0.0009284917181690667,-0.06537304144236922,435.66576189470004,21.0
ACT-CLJ0201.6-0503,0.00019924035001965968,1.6027565347242707,0.6549243851076841,0.03810394756896814,15910.378528785694,-0.005303283601047333,-0.021743092467214876,465.9080082605822,21.0
ACT-CLJ0203.0-0042,0.00017135426557015224,1.3111296934226597,0.5832424678138188,0.0,15443.77224706168,-0.0004415723315985947,-0.06560994061715057,434.9191575649895,21.0
ACT-CLJ0203.2-0123,0.00014377781429943223,0.8087699540395232,0.0555602147639857,0.0,16738.575234811076,0.001197170061986111,-0.07317894945784849,402.84074375346415,21.0
ACT-CLJ0203.7+0216,0.00016788541382549397,1.0721320533759893,0.38317280299806894,0.0,16053.888970134558,-0.0011613011581803,-0.06640701239835765,425.49073668232427,21.0
ACT-CLJ0203.9-0205,0.0001887420705791419,1.062734355594682,0.06908964035019216,0.004762993446121018,10149.39449584923,-0.0005677944979864152,-0.07825350722839595,416.54804942592926,21.0
ACT-CLJ0204.5+0321,0.00020158842150138454,0.9286978255158217,0.30661555474701263,0.0,10998.702512447468,-7.129156971605026e-05,-0.07822608178656296,405.7722364303135,21.0
ACT-CLJ0204.7-0116,0.00020370298479491252,1.0043977312495713,-0.023785302890514306,0.004762993446121018,10871.178865957634,-0.0002355388673334155,-0.07558951672781869,406.00785835423,21.0
ACT-CLJ0204.8-0303,0.00019288234068996985,1.0413911049659517,0.07515491383367359,0.0,10585.066987984066,2.1456502706559437e-05,-0.07912324424131538,408.64867712390196,21.0
ACT-CLJ0205.2-0439,0.00020073799431377914,1.1669901322914595,0.1407618810776432,0.0028577960676726107,10150.556162316865,0.0015881364635638414,-0.07485489297484857,423.71242153743646,21.0
ACT-CLJ0205.9-0307,0.00021734787527128555,1.1386843851821074,-0.23656555507183327,0.013336381649138852,10701.993573249803,0.00037472103478980884,-0.07485997999498102,418.02782044385134,21.0
ACT-CLJ0206.2-0114,0.00024640108823472355,1.1253799654791625,-0.41536778933102025,0.0019051973784484073,8718.379021856106,0.000999198923559726,-0.08051485912622171,389.21316498686167,21.0
ACT-CLJ0206.4-0118,0.0001869841624095959,1.043961061043193,-0.030554442935438193,0.0,10980.806737618554,0.0004960817979501836,-0.07789863200440286,407.0805933114076,21.0
ACT-CLJ0206.9-0119,0.0001898499524188315,1.1062934367583384,-0.10290001050670716,0.0028577960676726107,10388.360055007397,1.0823132520323795e-05,-0.07595667801065212,415.1002937433089,21.0
ACT-CLJ0207.2+0536,0.0001823817034378406,1.2524804979661228,0.029302388563070412,0.030483158055174518,10053.84454445936,0.0021993141996930806,-0.07197249853320348,428.0148547584008,21.0
ACT-CLJ0207.7+0020,0.00015125810473751698,1.2147986056748443,-0.19032121120840817,0.022862368541380886,10680.450814129887,-8.431984625597227e-05,-0.07197927509678444,423.36000821282767,21.0
ACT-CLJ0208.2-0237,0.00016827111683299155,1.1350665519862333,-0.045345025155933874,0.0019051973784484073,8770.876246521964,-0.0005701068161331979,-0.07781149290245713,391.629481504356,21.0
ACT-CLJ0208.3-0255,0.00014831376031726551,1.2075751654189477,-0.11481223071314613,0.019055241144076678,10368.902099693712,0.0006684989378232493,-0.07420315427747945,418.71364128230914,21.0
ACT-CLJ0209.6+0222,0.0001535764926061294,1.0933240667105522,0.1480155289093592,0.0,11271.838907430181,-0.000649126969140583,-0.07502283215034078,409.88263759632,21.0
ACT-CLJ0209.9+0038,0.0001673853218789352,1.2937074161689572,-0.4318097932863106,0.02095717116293248,10507.859367080795,0.0006756681850444243,-0.07421813372288633,420.7304036501982,21.0
ACT-CLJ0210.0-0243,0.000160048229922022,1.045879038161122,0.2049539569799852,0.0028577960676726107,10998.701765601209,-0.0010945400698507907,-0.07989755335489687,403.3310166615019,21.0
ACT-CLJ0210.1+0254,0.0001757469182876479,1.3061459881397268,-0.32516156530825985,0.005715592135345221,10682.709079598568,0.0019824367211429034,-0.07136179594740868,422.8482647069233,21.0
ACT-CLJ0211.1-0453,0.00016560500527475598,1.1379596988496246,-0.042452266500087724,0.0257201646090535,10725.940189976296,-0.00018089747769881306,-0.07534595981174193,417.5817103053668,21.0
ACT-CLJ0211.2-0343,0.00015617603449481326,1.3115856319375536,-0.13369269402290312,0.03810394756896814,9938.005730101582,-0.000504907803301308,-0.07113693780522559,430.62662095729485,21.0
ACT-CLJ0211.9-0146,0.00017401764474611628,1.1330741358045666,0.1215717172751872,0.0,10639.045317002017,-0.00017591730316030729,-0.07771830087134632,411.35491701859536,21.0
ACT-CLJ0212.5+0152,0.0001858463494110953,1.1142419761383813,-0.3051210217043705,0.0,11168.155877224708,0.000720789798793047,-0.07722931357147277,409.9077634487658,21.0
ACT-CLJ0212.5-0037,0.00015880665424375883,1.034396730060219,-0.1220065409323303,0.0,10314.779837115688,-0.0004875694130834579,-0.07652439282170488,417.2372422579394,21.0
ACT-CLJ0214.7-0432,0.00015692001885742762,1.1807103351980412,0.09288603434556687,0.01809937509525987,9774.421656686076,-0.0004964060307653313,-0.0735434313361883,429.3825109129337,21.0
