cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,int_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
ACT-CLJ0200.3+0019,AGBT21B_298_01,8,168.0,163.0,5.120000000000001,2.0,6.0,30.088011446471043,0.324674884472526,5.8980131232115494e-05,0.017292244859524453,167.99998152094437,162.9999630503639,2.9999106008125,0.02793700509011175,0.0001468477479883492,87.8121256296694,167.94426643966952,162.51916518100705,2.8008891350730614,123.66823794375019,85.18780517578125,0.0,0.00017341486818622798,1921648.5,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,AGBT21B_298_01,10,179.0,173.0,3.2,2.0,6.0,30.08194600873591,0.329766652467814,0.00019633457912553287,0.005915207772069776,178.99999730663856,172.99999886122487,2.999989553543535,0.00955699444928455,0.00014673567762078145,28.935705268860662,178.8075021623788,173.17975042611258,2.6995552175912203,37.855618601154184,28.414199829101562,0.0,0.0001782264153007418,1755139.625,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0201.6-0211,AGBT21B_298_01,9,151.0,207.0,5.120000000000001,2.0,6.0,30.43484742695286,-2.173075998364649,0.00044917926753142135,0.004453846633830281,150.99999790908575,206.99999982284993,2.9999769795031868,0.007195864014340741,0.00014933409459132107,12.109915018110993,150.94569955156268,207.37679156254714,3.111866158895206,21.052067799104748,12.78186321258545,0.0,0.0002863564295694232,751119.5625,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0
ACT-CLJ0201.6-0211,AGBT21B_298_01,9,210.0,130.0,5.120000000000001,2.0,6.0,30.402045299446392,-2.215853547272441,0.0005593665428160316,0.0021741590911949576,209.9999999787714,129.9999998317185,3.0000004337809876,0.003512738332111221,0.00014927927435581234,4.232629725836954,210.11437949804633,129.6220215847569,3.1892735822339824,7.72868618660209,3.6780354976654053,0.0,0.0004255733801983297,285405.625,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0
ACT-CLJ0201.6-0211,AGBT21B_298_01,9,175.0,65.0,5.120000000000001,2.0,6.0,30.421504117027297,-2.2519648661535805,0.0009489474410219234,0.003026324847122252,175.00000020563863,65.00000121360699,2.9999934082106434,0.00488953984459132,0.00014936437187383457,4.543933012460207,176.2444904164588,62.4932959951197,2.6784212626549855,5.85196248423411,2.963630437850952,0.0,0.000702706107404083,143027.765625,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0
ACT-CLJ0201.6-0211,AGBT21B_298_01,9,89.0,134.0,5.120000000000001,2.0,6.0,30.46931775353362,-2.2136310104868246,0.0007581095851956316,0.0021808695562244734,88.99999884192745,133.9999994488622,2.9999988802644912,0.003523576625265438,0.00014927658677696537,4.0205922095243425,88.45678809341628,133.199733696985,2.788778040695008,5.6134488798266275,3.798051118850708,0.0,0.0005153178935870528,230033.53125,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0
ACT-CLJ0201.6-0211,AGBT21B_298_01,9,60.0,168.0,3.2,2.0,6.0,30.485440166949804,-2.194741602409962,0.000990729238773682,0.0023151063364988947,59.99999821100005,167.99999984165834,2.999968638663007,0.003740384236546153,0.0001494307330843752,3.7826154630520095,59.617322348497325,168.52743461330834,2.5909749036610625,4.558589138900956,3.6516826152801514,0.0,0.0005705997464247048,166124.53125,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0
ACT-CLJ0201.6-0211,AGBT21B_298_01,11,163.0,228.0,5.120000000000001,2.0,6.0,30.427081148329936,-2.1638133216292177,0.0006400274395727209,0.0017717638881764007,162.9999999518105,228.00000003639425,2.9999992495324763,0.002862595491293969,0.00014676194599020254,4.276353713664214,163.582799332019,228.67659572772018,4.593149982507588,16.195960876980457,3.542818546295166,0.0,0.0002770572027657181,1190405.875,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0
ACT-CLJ0201.6-0211,AGBT21B_298_01,11,160.0,66.0,5.120000000000001,2.0,6.0,30.42874907105369,-2.2538133030768805,0.0009310440050378494,0.0025938047477154476,159.9999988089756,65.99999960502369,2.99999786120673,0.004190742882520336,0.0001467517406343354,4.2743057461708664,159.68714869825038,66.06830869394837,3.2225494119203706,7.968500421746673,4.37371301651001,0.0,0.0004913822049275041,381683.375,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0
ACT-CLJ0201.6-0211,AGBT21B_298_01,11,142.0,78.0,5.120000000000001,2.0,6.0,30.43875675888211,-2.2471465994813165,0.0008372549448940459,0.00151906904794185,141.99999989570537,77.99999995373858,3.0000003889620825,0.0024543244953881037,0.00014675615468551258,2.8822354485086734,142.97982261244124,78.25059425988758,3.6711129346258002,6.973274962276235,2.5434765815734863,0.0,0.00041181541746482253,512837.5,1,ACT-CLJ0201.6-0211,0.0001737831322086,1.1593152821288597,-0.2447575961398735,0.0019051973784484,2916.4962454383517,-0.0055931778743871,1.0686751002912145,20.0
