,cluster,ra_deg,dec_deg,FINT_first,Total_flux_vlass,int_flux_Jy,alpha,sed_offset
0,ACT-CLJ0201.6-0211,30.44589435111796,-2.198815803776432,58.386692,41.80208298728,-0.0427837036924027,-0.43843120999806806,5.7762624316037385
1,ACT-CLJ0204.5+0321,31.12301223476414,3.325904208102623,2.6367743,11.99734227313,-0.0548109326833839,1.9879879137541698,-17.761317515845242
2,ACT-CLJ0218.7-0014,34.66949008209357,-0.2546722508037803,12.418093,13.74690770967,0.0349915888679206,0.2567020764274363,-1.2721266582721067
3,ACT-CLJ0220.9-0332,35.20608502708197,-3.5532345959081977,100.791306,22.92857497533,0.0099965772670464,-0.46036517196890053,5.99336620233126
4,ACT-CLJ0229.6-0336,37.43652594097048,-3.623751611089524,1.7303226,2.2930722521500004,0.1069835101629658,1.0330159108314705,-9.308719331133801
5,ACT-CLJ0231.7-0453,37.92220957304974,-4.878826140551747,nan,nan,0.0273717926803383,999,999
6,ACT-CLJ0248.0-0331,42.0146942139,-3.5296932877949274,41.36744,22.055917574060008,-0.0239119549363825,-0.8252076706728331,9.164116408621481
7,ACT-CLJ0248.3-0337,42.090826822551904,-3.5730335740136145,8.502087,6.41040945369,0.0093671940051442,0.05013929648576911,0.40834205972621057
8,ACT-CLJ0259.4-0524,44.86554012457104,-5.406730701572394,nan,nan,-0.0354992126099405,999,999
9,ACT-CLJ0839.5-0150,129.91808628285216,-1.8757016953983503,2.2701266,3.0879090819700004,-0.032886610327064,0.4036735990159957,-3.3359995685852772
10,ACT-CLJ0901.5+0301,135.35902642974995,2.990644010154816,8.181905,6.751356857979999,-0.0467263364723642,-0.25218140707478687,3.219341344376064
11,ACT-CLJ0905.6+0434,136.4332540544612,4.5617383653604575,8.464096,8.32331348382,-0.0159253816792741,-0.022017681899918727,1.1289589644138875
12,ACT-CLJ0918.7+0211,139.7031560593457,2.2239511148953213,5.516336,7.21837791046,-0.011141976866305,0.3528288033540463,-2.4853643153583835
13,ACT-CLJ1005.5+0235,151.3802284020592,2.584107898594596,45.496826,10.074935754459998,0.0256180265029166,-0.012416653330186331,1.4790075009688033
14,ACT-CLJ1203.9+0126,181.00886987040823,1.444663413925458,4.2686315,4.684645283369999,-0.0253753127541971,0.12202971770662556,-0.48580996493187156
15,ACT-CLJ1220.4-0240,185.07772525335847,-2.682961536955037,64.64426,78.87226085611,0.0378694129210137,-0.15501447767834198,3.2902274258536255
16,ACT-CLJ0208.3-0255,32.114845937319075,-2.9860091195239487,nan,nan,-0.0332355101609569,999,999
17,ACT-CLJ0218.1-0214,34.57938399393908,-2.194287644142633,nan,nan,-0.0226173639055214,999,999
18,ACT-CLJ0218.1-0214,34.590505602752934,-2.249287177535496,nan,nan,-0.0225945751283516,999,999
19,ACT-CLJ0218.1-0214,34.54658210072964,-2.1876217558263007,nan,nan,-0.0225720859533349,999,999
20,ACT-CLJ0219.8+0022,34.903739312965726,0.3875560990023416,nan,nan,-0.0222621503870509,999,999
21,ACT-CLJ0220.9-0332,35.30071213141298,-3.564899777145951,nan,nan,0.0099971996835761,999,999
22,ACT-CLJ0221.7-0346,35.46836163552152,-3.7183467744208274,nan,nan,0.0237315275864739,999,999
23,ACT-CLJ0221.7-0346,35.50399481321643,-3.755011589231661,nan,nan,0.0237256142662374,999,999
24,ACT-CLJ0221.9-0340,35.54846297874947,-3.668777881870625,nan,nan,0.1049692155131767,999,999
25,ACT-CLJ0221.9-0340,35.54178171201588,-3.654889464537816,nan,nan,0.1049546985006223,999,999
26,ACT-CLJ0221.9-0340,35.54234110313472,-3.695444960399153,nan,nan,0.1049500978726653,999,999
27,ACT-CLJ0839.5-0140,129.92942807451922,-1.6247644893931803,nan,nan,0.0049698409511549,999,999
28,ACT-CLJ0845.4+0327,131.42462683094732,3.497630673733368,nan,nan,0.0331026659689909,999,999
29,ACT-CLJ0916.8-0059,139.16962064597502,-0.9589687499824864,nan,nan,0.0145833540980324,999,999
