cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type,cntr_01,dist_x,pang_x,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,GroupID,GroupSize,Separation
ACT-CLJ1331.1+0100,229.0,123.0,4.800000000000001,3.0,7.0,202.7612494984718,0.981247436255715,7.516956330008728E-4,0.0013628398085910253,229.00000000160122,123.00000007078077,2.999998162366457,0.07706668113877484,3.663365761868615,3.228909177314139,228.58290481248537,123.27810872195059,4.488301758608152,3.8004379272460938,0.0,2.637486904859543E-4,801129.625,239,ACT-CLJ1331.1+0100,1.68818830831E-4,0.952450567591012,0.0945146443329194,0.0266727632982777,3101.942060900026,0.0550502085424686,0.986675549056132,20.0,240,153.889854,-118.391621,202.7984772,1.00291431,J133102.60+005857.3,202.7608662,0.982588,0.5909,0.6492,0.144,17.842,0.212,5.1,0.9708,17.289,0.477,2.3,0.8737,12.162,,1.4,0.8877,8.913,,-0.5,0.9062,1,0,0.0,0.0,0.0,0.0,-1341,1629,925,1820,0000,0,nnnn,BCUU,0000,2,35,0,35,0,18,0,19,332,8,5.019367988160834
ACT-CLJ1331.1+0100,217.0,262.0,4.800000000000001,3.0,7.0,202.7679164192168,1.0584696984568476,0.0011066073787305707,0.0024728247117325308,217.0000000226739,261.99999998522287,2.99999970930656,0.1398349159644968,3.663440193898717,3.6484152347965972,217.0207307234559,261.6122985233658,3.4036262941673496,2.9530911445617676,0.0,5.321567878127098E-4,242806.53125,239,ACT-CLJ1331.1+0100,1.68818830831E-4,0.952450567591012,0.0945146443329194,0.0266727632982777,3101.942060900026,0.0550502085424686,0.986675549056132,20.0,240,229.539928,-29.712961,202.7984772,1.00291431,J133104.04+010329.8,202.7668683,1.0582919,0.2779,0.3041,0.0421,16.879,0.096,11.3,0.8298,16.702,0.308,3.5,0.9472,12.08,,0.6,0.7818,8.729,,0.8,0.9517,1,0,0.0,0.0,0.0,0.0,787,733,-733,811,0000,0,nnnn,ABUU,0000,6,31,0,31,0,19,0,19,333,6,3.826499210921669
ACT-CLJ1331.1+0100,217.0,262.0,4.0,4.0,5.0,202.7679164192168,1.0584696984568476,0.0011066073787305707,0.0024728247117325308,217.0000000226739,261.99999998522287,2.99999970930656,0.1398349159644968,3.663440193898717,3.6484152347965972,217.0207307234559,261.6122985233658,3.4036262941673496,2.9530911445617676,0.0,5.321567878127098E-4,242806.53125,239,ACT-CLJ1331.1+0100,1.68818830831E-4,0.952450567591012,0.0945146443329194,0.0266727632982777,3101.942060900026,0.0550502085424686,0.986675549056132,20.0,240,229.539928,-29.712961,202.7984772,1.00291431,J133104.04+010329.8,202.7668683,1.0582919,0.2779,0.3041,0.0421,16.879,0.096,11.3,0.8298,16.702,0.308,3.5,0.9472,12.08,,0.6,0.7818,8.729,,0.8,0.9517,1,0,0.0,0.0,0.0,0.0,787,733,-733,811,0000,0,nnnn,ABUU,0000,6,31,0,31,0,19,0,19,333,6,3.826499210921669
ACT-CLJ1331.1+0100,217.0,262.0,4.0,4.0,6.0,202.7679164192168,1.0584696984568476,0.0011066073787305707,0.0024728247117325308,217.0000000226739,261.99999998522287,2.99999970930656,0.1398349159644968,3.663440193898717,3.6484152347965972,217.0207307234559,261.6122985233658,3.4036262941673496,2.9530911445617676,0.0,5.321567878127098E-4,242806.53125,239,ACT-CLJ1331.1+0100,1.68818830831E-4,0.952450567591012,0.0945146443329194,0.0266727632982777,3101.942060900026,0.0550502085424686,0.986675549056132,20.0,240,229.539928,-29.712961,202.7984772,1.00291431,J133104.04+010329.8,202.7668683,1.0582919,0.2779,0.3041,0.0421,16.879,0.096,11.3,0.8298,16.702,0.308,3.5,0.9472,12.08,,0.6,0.7818,8.729,,0.8,0.9517,1,0,0.0,0.0,0.0,0.0,787,733,-733,811,0000,0,nnnn,ABUU,0000,6,31,0,31,0,19,0,19,333,6,3.826499210921669
ACT-CLJ1331.1+0100,217.0,262.0,4.0,4.0,7.0,202.7679164192168,1.0584696984568476,0.0011066073787305707,0.0024728247117325308,217.0000000226739,261.99999998522287,2.99999970930656,0.1398349159644968,3.663440193898717,3.6484152347965972,217.0207307234559,261.6122985233658,3.4036262941673496,2.9530911445617676,0.0,5.321567878127098E-4,242806.53125,239,ACT-CLJ1331.1+0100,1.68818830831E-4,0.952450567591012,0.0945146443329194,0.0266727632982777,3101.942060900026,0.0550502085424686,0.986675549056132,20.0,240,229.539928,-29.712961,202.7984772,1.00291431,J133104.04+010329.8,202.7668683,1.0582919,0.2779,0.3041,0.0421,16.879,0.096,11.3,0.8298,16.702,0.308,3.5,0.9472,12.08,,0.6,0.7818,8.729,,0.8,0.9517,1,0,0.0,0.0,0.0,0.0,787,733,-733,811,0000,0,nnnn,ABUU,0000,6,31,0,31,0,19,0,19,333,6,3.826499210921669
ACT-CLJ1331.1+0100,228.0,122.0,6.4,4.0,7.0,202.76180514147694,0.9806918870175367,7.483110123723308E-4,0.0012825509965910774,228.00000002930724,122.00000001702736,3.000000171423061,0.07252655848588876,3.663237032437494,3.2850259427533444,228.61697402347744,123.32676342040877,4.441143573570754,3.395385980606079,0.0,2.5663740234449506E-4,959547.4375,239,ACT-CLJ1331.1+0100,1.68818830831E-4,0.952450567591012,0.0945146443329194,0.0266727632982777,3101.942060900026,0.0550502085424686,0.986675549056132,20.0,240,153.772638,-123.920281,202.7984772,1.00291431,J133103.12+005844.6,202.7630268,0.9790777,0.4788,0.5361,0.108,17.633,0.17,6.4,0.9701,16.913,0.359,3.0,0.8936,12.333,,0.4,0.9064,9.167,,-0.4,1.038,1,0,0.0,0.0,0.0,0.0,-1826,1414,840,1578,0000,0,nnnn,BCUU,0000,5,35,0,35,1,19,0,19,,,7.287321994070325
ACT-CLJ1331.1+0100,229.0,123.0,5.0,5.0,6.0,202.7612494984718,0.981247436255715,7.516956330008728E-4,0.0013628398085910253,229.00000000160122,123.00000007078077,2.999998162366457,0.07706668113877484,3.663365761868615,3.228909177314139,228.58290481248537,123.27810872195059,4.488301758608152,3.8004379272460938,0.0,2.637486904859543E-4,801129.625,239,ACT-CLJ1331.1+0100,1.68818830831E-4,0.952450567591012,0.0945146443329194,0.0266727632982777,3101.942060900026,0.0550502085424686,0.986675549056132,20.0,240,153.889854,-118.391621,202.7984772,1.00291431,J133102.60+005857.3,202.7608662,0.982588,0.5909,0.6492,0.144,17.842,0.212,5.1,0.9708,17.289,0.477,2.3,0.8737,12.162,,1.4,0.8877,8.913,,-0.5,0.9062,1,0,0.0,0.0,0.0,0.0,-1341,1629,925,1820,0000,0,nnnn,BCUU,0000,2,35,0,35,0,18,0,19,332,8,5.019367988160834
ACT-CLJ1331.1+0100,229.0,123.0,5.0,5.0,7.0,202.7612494984718,0.981247436255715,7.516956330008728E-4,0.0013628398085910253,229.00000000160122,123.00000007078077,2.999998162366457,0.07706668113877484,3.663365761868615,3.228909177314139,228.58290481248537,123.27810872195059,4.488301758608152,3.8004379272460938,0.0,2.637486904859543E-4,801129.625,239,ACT-CLJ1331.1+0100,1.68818830831E-4,0.952450567591012,0.0945146443329194,0.0266727632982777,3101.942060900026,0.0550502085424686,0.986675549056132,20.0,240,153.889854,-118.391621,202.7984772,1.00291431,J133102.60+005857.3,202.7608662,0.982588,0.5909,0.6492,0.144,17.842,0.212,5.1,0.9708,17.289,0.477,2.3,0.8737,12.162,,1.4,0.8877,8.913,,-0.5,0.9062,1,0,0.0,0.0,0.0,0.0,-1341,1629,925,1820,0000,0,nnnn,BCUU,0000,2,35,0,35,0,18,0,19,332,8,5.019367988160834
ACT-CLJ1331.1+0100,228.0,123.0,6.0,6.0,7.0,202.7618051352522,0.981247442391254,7.433316731689767E-4,0.0013237370181377853,227.99999997856418,122.99999999110642,2.999999768979167,0.07485555331760127,3.6633169321117696,3.2734200417405623,228.5646421074492,123.30709236360443,4.44791538396311,3.557877779006958,0.0,2.556206891313195E-4,934691.3125,239,ACT-CLJ1331.1+0100,1.68818830831E-4,0.952450567591012,0.0945146443329194,0.0266727632982777,3101.942060900026,0.0550502085424686,0.986675549056132,20.0,240,153.889854,-118.391621,202.7984772,1.00291431,J133102.60+005857.3,202.7608662,0.982588,0.5909,0.6492,0.144,17.842,0.212,5.1,0.9708,17.289,0.477,2.3,0.8737,12.162,,1.4,0.8877,8.913,,-0.5,0.9062,1,0,0.0,0.0,0.0,0.0,-1341,1629,925,1820,0000,0,nnnn,BCUU,0000,2,35,0,35,0,18,0,19,332,8,5.891733217835809
ACT-CLJ1332.8-0006,117.0,253.0,6.4,4.0,7.0,203.24230042078977,-0.06583376192355206,9.843505806183615E-4,0.0018009759071143463,116.9999998421284,252.99999886412394,2.999999924920884,0.10184278312597668,3.5880157135764352,2.394856399939826,116.66916202702575,255.08537702365584,7.4269589051851215,3.221620798110962,0.0,4.4308765791356564E-4,301653.25,240,ACT-CLJ1332.8-0006,1.870733779586E-4,1.0572963962484394,-0.1772972214831171,0.0057155921353452,2932.863919187341,0.0094505623161522,1.04840483653129,20.0,241,203.291424,28.262555,203.2173004,-0.1163893119,J133258.56-000359.9,203.2440396,-0.0666514,0.5199,0.5663,0.0915,17.698,0.197,5.5,0.8486,16.815,0.357,3.0,0.9227,12.687,0.486,2.2,1.105,8.944,,0.9,0.9654,1,0,0.0,0.0,0.0,0.0,-616,1547,152,1711,0000,0,nnnn,BCCU,0000,0,32,1,32,1,22,1,22,334,2,6.918439787076852
ACT-CLJ1332.8-0006,117.0,252.0,6.0,6.0,7.0,203.2423004212822,-0.06638931701186264,9.756684266808541E-4,0.0020779754963778634,116.99999944407335,251.99999831183388,2.999995828298414,0.11750641916586027,3.5881522082610062,2.4010163180244346,116.7014563928621,255.02244116956444,7.413644750396714,4.180697441101074,0.0,4.345202469266951E-4,300271.0625,240,ACT-CLJ1332.8-0006,1.870733779586E-4,1.0572963962484394,-0.1772972214831171,0.0057155921353452,2932.863919187341,0.0094505623161522,1.04840483653129,20.0,241,203.291424,28.262555,203.2173004,-0.1163893119,J133258.56-000359.9,203.2440396,-0.0666514,0.5199,0.5663,0.0915,17.698,0.197,5.5,0.8486,16.815,0.357,3.0,0.9227,12.687,0.486,2.2,1.105,8.944,,0.9,0.9654,1,0,0.0,0.0,0.0,0.0,-616,1547,152,1711,0000,0,nnnn,BCCU,0000,0,32,1,32,1,22,1,22,334,2,6.331729725956066
ACT-CLJ1340.9-0152,178.0,281.0,5.120000000000001,2.0,6.0,205.23324843482362,-1.803638917805196,0.0011642389536243383,0.0033554489397111063,178.00000258950183,281.0000050767072,2.9999770748382324,0.18974326732955105,3.5899496350499303,2.7932417050437484,178.39086461949148,282.09186815641084,3.866230849533314,2.6903913021087646,0.0,7.409179816022515E-4,104706.46875,242,ACT-CLJ1340.9-0152,1.752165663532E-4,1.028146245397625,-0.131851496078893,0.0209571711629324,2822.9180405796446,-0.0752502883214686,1.0838256129308372,20.0,243,240.097914,-5.730981,205.2421417,-1.869750023,J134056.51-014812.2,205.2354785,-1.8033895,0.0861,0.0912,0.0099,15.192,0.035,30.7,0.9237,14.929,0.069,15.8,0.9466,12.556,,0.5,1.057,8.814,,0.5,1.11,1,0,0.0,0.0,0.0,0.0,156,167,-233,184,0000,0,00nn,AAUU,1111,32,32,23,32,0,21,0,21,335,7,8.074338577682381
ACT-CLJ1340.9-0152,178.0,281.0,5.120000000000001,2.0,7.0,205.23324843482362,-1.803638917805196,0.0011642389536243383,0.0033554489397111063,178.00000258950183,281.0000050767072,2.9999770748382324,0.18974326732955105,3.5899496350499303,2.7932417050437484,178.39086461949148,282.09186815641084,3.866230849533314,2.6903913021087646,0.0,7.409179816022515E-4,104706.46875,242,ACT-CLJ1340.9-0152,1.752165663532E-4,1.028146245397625,-0.131851496078893,0.0209571711629324,2822.9180405796446,-0.0752502883214686,1.0838256129308372,20.0,243,240.097914,-5.730981,205.2421417,-1.869750023,J134056.51-014812.2,205.2354785,-1.8033895,0.0861,0.0912,0.0099,15.192,0.035,30.7,0.9237,14.929,0.069,15.8,0.9466,12.556,,0.5,1.057,8.814,,0.5,1.11,1,0,0.0,0.0,0.0,0.0,156,167,-233,184,0000,0,00nn,AAUU,1111,32,32,23,32,0,21,0,21,335,7,8.074338577682381
ACT-CLJ1340.9-0152,178.0,281.0,4.800000000000001,3.0,5.0,205.23324843482362,-1.803638917805196,0.0011642389536243383,0.0033554489397111063,178.00000258950183,281.0000050767072,2.9999770748382324,0.18974326732955105,3.5899496350499303,2.7932417050437484,178.39086461949148,282.09186815641084,3.866230849533314,2.6903913021087646,0.0,7.409179816022515E-4,104706.46875,242,ACT-CLJ1340.9-0152,1.752165663532E-4,1.028146245397625,-0.131851496078893,0.0209571711629324,2822.9180405796446,-0.0752502883214686,1.0838256129308372,20.0,243,240.097914,-5.730981,205.2421417,-1.869750023,J134056.51-014812.2,205.2354785,-1.8033895,0.0861,0.0912,0.0099,15.192,0.035,30.7,0.9237,14.929,0.069,15.8,0.9466,12.556,,0.5,1.057,8.814,,0.5,1.11,1,0,0.0,0.0,0.0,0.0,156,167,-233,184,0000,0,00nn,AAUU,1111,32,32,23,32,0,21,0,21,335,7,8.074338577682381
ACT-CLJ1340.9-0152,178.0,281.0,4.800000000000001,3.0,6.0,205.23324843482362,-1.803638917805196,0.0011642389536243383,0.0033554489397111063,178.00000258950183,281.0000050767072,2.9999770748382324,0.18974326732955105,3.5899496350499303,2.7932417050437484,178.39086461949148,282.09186815641084,3.866230849533314,2.6903913021087646,0.0,7.409179816022515E-4,104706.46875,242,ACT-CLJ1340.9-0152,1.752165663532E-4,1.028146245397625,-0.131851496078893,0.0209571711629324,2822.9180405796446,-0.0752502883214686,1.0838256129308372,20.0,243,240.097914,-5.730981,205.2421417,-1.869750023,J134056.51-014812.2,205.2354785,-1.8033895,0.0861,0.0912,0.0099,15.192,0.035,30.7,0.9237,14.929,0.069,15.8,0.9466,12.556,,0.5,1.057,8.814,,0.5,1.11,1,0,0.0,0.0,0.0,0.0,156,167,-233,184,0000,0,00nn,AAUU,1111,32,32,23,32,0,21,0,21,335,7,8.074338577682381
ACT-CLJ1340.9-0152,178.0,281.0,4.800000000000001,3.0,7.0,205.23324843482362,-1.803638917805196,0.0011642389536243383,0.0033554489397111063,178.00000258950183,281.0000050767072,2.9999770748382324,0.18974326732955105,3.5899496350499303,2.7932417050437484,178.39086461949148,282.09186815641084,3.866230849533314,2.6903913021087646,0.0,7.409179816022515E-4,104706.46875,242,ACT-CLJ1340.9-0152,1.752165663532E-4,1.028146245397625,-0.131851496078893,0.0209571711629324,2822.9180405796446,-0.0752502883214686,1.0838256129308372,20.0,243,240.097914,-5.730981,205.2421417,-1.869750023,J134056.51-014812.2,205.2354785,-1.8033895,0.0861,0.0912,0.0099,15.192,0.035,30.7,0.9237,14.929,0.069,15.8,0.9466,12.556,,0.5,1.057,8.814,,0.5,1.11,1,0,0.0,0.0,0.0,0.0,156,167,-233,184,0000,0,00nn,AAUU,1111,32,32,23,32,0,21,0,21,335,7,8.074338577682381
ACT-CLJ1340.9-0152,265.0,207.0,6.4,4.0,7.0,205.18488985253313,-1.8447491035457706,0.0010898711018452916,0.0016409574760791277,264.999999905055,206.99999974910878,2.999999820584166,0.09279394803152512,3.5889092797954047,2.446556537751065,264.55567811500543,206.2796756441568,3.9310168113258066,2.6179819107055664,0.0,4.7715066466480494E-4,203929.9375,242,ACT-CLJ1340.9-0152,1.752165663532E-4,1.028146245397625,-0.131851496078893,0.0209571711629324,2822.9180405796446,-0.0752502883214686,1.0838256129308372,20.0,243,226.684395,-64.219879,205.2421417,-1.869750023,J134044.49-015032.5,205.1854117,-1.8423632,0.127,0.1389,0.0269,15.956,0.048,22.4,0.9797,15.68,0.114,9.5,0.9175,12.1,,2.0,1.072,8.763,,1.4,1.051,1,0,0.0,0.0,0.0,0.0,222,294,246,328,0000,0,0nnn,ABUU,1111,34,36,4,36,0,24,0,24,336,2,8.792095286350703
