cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type
ACT-CLJ0200.3+0019,all,0,259.0,169.0,3.2,2.0,4.0,30.038311472780695,0.3285391803005497,0.0009429841632172256,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539e-06,0.002355539104286993,2.3469034500204517e-05,4.297876834869385,2.008680051019246,4.297876834869385,0.0,0.00033857906237244606,544729.0,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,169.0,3.2,2.0,5.0,30.038311472780695,0.3285391803005497,0.0009429841632172256,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539e-06,0.002355539104286993,2.3469034500204517e-05,4.297876834869385,2.008680051019246,4.297876834869385,0.0,0.00033857906237244606,544729.0,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,170.0,5.120000000000001,2.0,6.0,30.038311469819895,0.32909473562088193,0.0009437316336256581,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401e-06,0.0033856841604972235,2.358689299924133e-05,4.297876834869385,1.7942062193766646,4.156156539916992,0.0,0.00033934443490579724,522651.1875,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,170.0,5.120000000000001,2.0,7.0,30.038311469819895,0.32909473562088193,0.0009437316336256581,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401e-06,0.0033856841604972235,2.358689299924133e-05,4.297876834869385,1.7942062193766646,4.156156539916992,0.0,0.00033934443490579724,522651.1875,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,169.0,3.0,3.0,4.0,30.038311472780695,0.3285391803005497,0.0009429841632172256,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539e-06,0.002355539104286993,2.3469034500204517e-05,4.297876834869385,2.008680051019246,4.297876834869385,0.0,0.00033857906237244606,544729.0,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,170.0,4.800000000000001,3.0,5.0,30.038311469819895,0.32909473562088193,0.0009437316336256581,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401e-06,0.0033856841604972235,2.358689299924133e-05,4.297876834869385,1.7942062193766646,4.156156539916992,0.0,0.00033934443490579724,522651.1875,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,170.0,4.800000000000001,3.0,6.0,30.038311469819895,0.32909473562088193,0.0009437316336256581,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401e-06,0.0033856841604972235,2.358689299924133e-05,4.297876834869385,1.7942062193766646,4.156156539916992,0.0,0.00033934443490579724,522651.1875,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,170.0,4.800000000000001,3.0,7.0,30.038311469819895,0.32909473562088193,0.0009437316336256581,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401e-06,0.0033856841604972235,2.358689299924133e-05,4.297876834869385,1.7942062193766646,4.156156539916992,0.0,0.00033934443490579724,522651.1875,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,169.0,4.0,4.0,5.0,30.038311472780695,0.3285391803005497,0.0009429841632172256,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539e-06,0.002355539104286993,2.3469034500204517e-05,4.297876834869385,2.008680051019246,4.297876834869385,0.0,0.00033857906237244606,544729.0,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
ACT-CLJ0200.3+0019,all,0,259.0,169.0,4.0,4.0,6.0,30.038311472780695,0.3285391803005497,0.0009429841632172256,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539e-06,0.002355539104286993,2.3469034500204517e-05,4.297876834869385,2.008680051019246,4.297876834869385,0.0,0.00033857906237244606,544729.0,ACT-CLJ0200.3+0019,0.0001481658857981,0.9032020625037602,0.0126733551878095,0.0,13854.8699401517,0.0015006906139307,-0.0745805481179938,417.79468421596863,21.0
