cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,amp_fit,x_center_fit,y_center_fit,sigma_x_fit,sigma_y_fit,theta,offset,snr,masked,rms_central,depth_at_psrcs,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,red_type
ACT-CLJ0200.3+0019,263.0,167.0,3.0,4.0,30.03730991658765,0.3289792974053048,0.002124799978807724,262.90994980668603,166.96204335910218,3.07050273536836,2.582925202351222,-4565.350392805774,-4.687331626064863e-06,5.33040189743042,0.0,1.1393891327315941e-05,3.449481664574705e-05,,,,,,,
ACT-CLJ0200.3+0019,263.0,167.0,3.0,5.0,30.03730991658765,0.3289792974053048,0.002124799978807724,262.90994980668603,166.96204335910218,3.07050273536836,2.582925202351222,-4565.350392805774,-4.687331626064863e-06,5.33040189743042,0.0,1.1393891327315941e-05,3.449481664574705e-05,,,,,,,
ACT-CLJ0200.3+0019,123.0,258.0,3.0,5.0,30.115089068137898,0.3795349694056382,0.001984795922469621,123.21446461238374,258.0876527266525,3.502803600779875,1.2713640157197814,-16380.230331380428,-4.20852866382079e-06,3.5732877254486084,0.0,1.1393891327315941e-05,2.8852204195572995e-05,,,,,,,
ACT-CLJ0200.3+0019,229.0,120.0,3.0,5.0,30.05619920115608,0.30286828080092093,0.0013403076824865274,228.69758913352194,119.18203104913978,3.2127839035693397,2.655152850618754,-78658.45030347382,-4.363719359781274e-06,4.953944206237793,0.0,1.1393891327315941e-05,2.268951357109472e-05,,,,,,,
ACT-CLJ0200.3+0019,263.0,167.0,3.0,6.0,30.03730991658765,0.3289792974053048,0.002124799978807724,262.90994980668603,166.96204335910218,3.07050273536836,2.582925202351222,-4565.350392805774,-4.687331626064863e-06,5.33040189743042,0.0,1.1393891327315941e-05,3.449481664574705e-05,,,,,,,
ACT-CLJ0200.3+0019,123.0,258.0,3.0,6.0,30.115089068137898,0.3795349694056382,0.001984795922469621,123.21446461238374,258.0876527266525,3.502803600779875,1.2713640157197814,-16380.230331380428,-4.20852866382079e-06,3.5732877254486084,0.0,1.1393891327315941e-05,2.8852204195572995e-05,,,,,,,
ACT-CLJ0200.3+0019,229.0,120.0,3.0,6.0,30.05619920115608,0.30286828080092093,0.0013403076824865274,228.69758913352194,119.18203104913978,3.2127839035693397,2.655152850618754,-78658.45030347382,-4.363719359781274e-06,4.953944206237793,0.0,1.1393891327315941e-05,2.268951357109472e-05,,,,,,,
ACT-CLJ0200.3+0019,263.0,167.0,4.0,5.0,30.03730991658765,0.3289792974053048,0.002124799978807724,262.90994980668603,166.96204335910218,3.07050273536836,2.582925202351222,-4565.350392805774,-4.687331626064863e-06,5.33040189743042,0.0,1.1393891327315941e-05,3.449481664574705e-05,,,,,,,
ACT-CLJ0200.3+0019,229.0,120.0,4.0,5.0,30.05619920115608,0.30286828080092093,0.0013403076824865274,228.69758913352194,119.18203104913978,3.2127839035693397,2.655152850618754,-78658.45030347382,-4.363719359781274e-06,4.953944206237793,0.0,1.1393891327315941e-05,2.268951357109472e-05,,,,,,,
ACT-CLJ0200.3+0019,263.0,167.0,4.0,6.0,30.03730991658765,0.3289792974053048,0.002124799978807724,262.90994980668603,166.96204335910218,3.07050273536836,2.582925202351222,-4565.350392805774,-4.687331626064863e-06,5.33040189743042,0.0,1.1393891327315941e-05,3.449481664574705e-05,,,,,,,
ACT-CLJ0200.3+0019,229.0,120.0,4.0,6.0,30.05619920115608,0.30286828080092093,0.0013403076824865274,228.69758913352194,119.18203104913978,3.2127839035693397,2.655152850618754,-78658.45030347382,-4.363719359781274e-06,4.953944206237793,0.0,1.1393891327315941e-05,2.268951357109472e-05,,,,,,,
ACT-CLJ0200.3+0019,263.0,167.0,5.0,6.0,30.03730991658765,0.3289792974053048,0.002124799978807724,262.90994980668603,166.96204335910218,3.07050273536836,2.582925202351222,-4565.350392805774,-4.687331626064863e-06,5.33040189743042,0.0,1.1393891327315941e-05,3.449481664574705e-05,,,,,,,
ACT-CLJ0200.3+0019,122.0,258.0,5.0,6.0,30.115644635573585,0.3795349679961234,0.0011712327989828258,122.24843587468064,258.02248608539537,3.5880894873990674,3.3020926008703184,-21858.88843339075,-4.508780639918317e-06,3.469572067260742,0.0,1.1393891327315941e-05,2.4621109332656488e-05,,,,,,,
ACT-CLJ0200.3+0019,229.0,120.0,5.0,6.0,30.05619920115608,0.30286828080092093,0.0013403076824865274,228.69758913352194,119.18203104913978,3.2127839035693397,2.655152850618754,-78658.45030347382,-4.363719359781274e-06,4.953944206237793,0.0,1.1393891327315941e-05,2.268951357109472e-05,,,,,,,
ACT-CLJ0200.3+0019,233.0,96.0,5.0,6.0,30.05397700127257,0.2895349461608651,0.001374313644097267,233.92715453162265,96.14996254865251,3.7778671247427096,3.2159585661115835,-13948.211936293883,-4.673733284518213e-06,3.7448065280914307,0.0,1.1393891327315941e-05,2.687531195988413e-05,,,,,,,
ACT-CLJ0201.6-0211,136.0,159.0,3.0,5.0,30.44520115852833,-2.1980314764332345,0.001536544353165681,135.47747252636532,158.82404570043212,2.5095398901489236,2.6299345920399673,13624.097578975618,9.95997700246665e-07,6.860249996185303,0.0,1.9157936549163423e-05,1.803376289899461e-05,0.0,ACT-CLJ0201.6-0211,0.000430107480747,0.000430107480747,0.0064985522130118,0.032388972507478,0.0
