cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,amp_fit,x_center_fit,y_center_fit,sigma_x_fit,sigma_y_fit,theta,offset,snr,masked,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,red_type,RA_2,DEC_2,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,Component_name,Component_id,Isl_id,RA_3,DEC_3,E_RA,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,Maj,E_Maj,Min,E_Min,PA,E_PA,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,RA_max,DEC_max,E_RA_max,E_DEC_max,S_Code,Xposn,E_Xposn,Yposn,E_Yposn,Xposn_max,E_Xposn_max,Yposn_max,E_Yposn_max,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Tile,Subtile,QL_image_RA,QL_image_DEC,NVSS_distance,FIRST_distance,Peak_to_ring,Duplicate_flag,Quality_flag,Source_name,Source_type,QL_cutout,NN_dist,BMAJ,BMIN,BPA
ACT-CLJ0201.6-0211,212.0,164.0,5.0,7.0,30.407140045490067,-2.206396478173399,0.4025546671038251,208.73122565015785,162.35915225329535,-0.2400531708274557,0.36812002954716405,168864.60241033626,-6.572899955593783E-6,3.1068055629730225,0.0,0.0,ACT-CLJ0201.6-0211,7.669666811339E-4,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,VLASS1QLCIR J020137.43-021223.6,40,42,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,12.752204846649999,1.87452247966,0.6939977357599999,0.09686919335,14.211309807180006,2.0473615989360003,7.925282067384,1.071789607008,85.56940599729789,15.907945726812091,6.794694542329999,0.50746365609,0.16099863569,-0.0073091901,0.09083194891,0.042752297300000006,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,S,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,14.211280341936002,2.0473615989360003,7.925183849087999,1.071789607008,85.56577407044671,15.907945726812091,14.046438119472,2.0473615989360003,7.396882355772001,1.071789607008,85.72656414029333,15.907945726812091,14.046409385639999,2.0473615989360003,7.396790480856001,1.071789607008,85.72293221344215,15.907945726812091,T10t04,J020200-023000,30.500304166670002,-2.5,85.4607448926181,92.43683292159297,0.9711453319885148,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.405969973802556+-2.20658081033034+0.025,9.497616867884213,2.8528802394865203,2.1484823226930003,1.9800760746000001
ACT-CLJ0201.6-0211,212.0,164.0,5.0,10.0,30.407140045490067,-2.206396478173399,0.4025546671038251,208.73122565015785,162.35915225329535,-0.2400531708274557,0.36812002954716405,168864.60241033626,-6.572899955593783E-6,3.1068055629730225,0.0,0.0,ACT-CLJ0201.6-0211,7.669666811339E-4,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,VLASS1QLCIR J020137.43-021223.6,40,42,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,12.752204846649999,1.87452247966,0.6939977357599999,0.09686919335,14.211309807180006,2.0473615989360003,7.925282067384,1.071789607008,85.56940599729789,15.907945726812091,6.794694542329999,0.50746365609,0.16099863569,-0.0073091901,0.09083194891,0.042752297300000006,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,S,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,14.211280341936002,2.0473615989360003,7.925183849087999,1.071789607008,85.56577407044671,15.907945726812091,14.046438119472,2.0473615989360003,7.396882355772001,1.071789607008,85.72656414029333,15.907945726812091,14.046409385639999,2.0473615989360003,7.396790480856001,1.071789607008,85.72293221344215,15.907945726812091,T10t04,J020200-023000,30.500304166670002,-2.5,85.4607448926181,92.43683292159297,0.9711453319885148,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.405969973802556+-2.20658081033034+0.025,9.497616867884213,2.8528802394865203,2.1484823226930003,1.9800760746000001
ACT-CLJ0201.6-0211,212.0,164.0,5.0,13.0,30.407140045490067,-2.206396478173399,0.4025546671038251,208.73122565015785,162.35915225329535,-0.2400531708274557,0.36812002954716405,168864.60241033626,-6.572899955593783E-6,3.1068055629730225,0.0,0.0,ACT-CLJ0201.6-0211,7.669666811339E-4,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,VLASS1QLCIR J020137.43-021223.6,40,42,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,12.752204846649999,1.87452247966,0.6939977357599999,0.09686919335,14.211309807180006,2.0473615989360003,7.925282067384,1.071789607008,85.56940599729789,15.907945726812091,6.794694542329999,0.50746365609,0.16099863569,-0.0073091901,0.09083194891,0.042752297300000006,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,S,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,14.211280341936002,2.0473615989360003,7.925183849087999,1.071789607008,85.56577407044671,15.907945726812091,14.046438119472,2.0473615989360003,7.396882355772001,1.071789607008,85.72656414029333,15.907945726812091,14.046409385639999,2.0473615989360003,7.396790480856001,1.071789607008,85.72293221344215,15.907945726812091,T10t04,J020200-023000,30.500304166670002,-2.5,85.4607448926181,92.43683292159297,0.9711453319885148,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.405969973802556+-2.20658081033034+0.025,9.497616867884213,2.8528802394865203,2.1484823226930003,1.9800760746000001
ACT-CLJ0201.6-0211,212.0,164.0,7.0,10.0,30.407140045490067,-2.206396478173399,0.4025546671038251,208.73122565015785,162.35915225329535,-0.2400531708274557,0.36812002954716405,168864.60241033626,-6.572899955593783E-6,3.1068055629730225,0.0,0.0,ACT-CLJ0201.6-0211,7.669666811339E-4,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,VLASS1QLCIR J020137.43-021223.6,40,42,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,12.752204846649999,1.87452247966,0.6939977357599999,0.09686919335,14.211309807180006,2.0473615989360003,7.925282067384,1.071789607008,85.56940599729789,15.907945726812091,6.794694542329999,0.50746365609,0.16099863569,-0.0073091901,0.09083194891,0.042752297300000006,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,S,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,14.211280341936002,2.0473615989360003,7.925183849087999,1.071789607008,85.56577407044671,15.907945726812091,14.046438119472,2.0473615989360003,7.396882355772001,1.071789607008,85.72656414029333,15.907945726812091,14.046409385639999,2.0473615989360003,7.396790480856001,1.071789607008,85.72293221344215,15.907945726812091,T10t04,J020200-023000,30.500304166670002,-2.5,85.4607448926181,92.43683292159297,0.9711453319885148,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.405969973802556+-2.20658081033034+0.025,9.497616867884213,2.8528802394865203,2.1484823226930003,1.9800760746000001
ACT-CLJ0201.6-0211,212.0,164.0,7.0,13.0,30.407140045490067,-2.206396478173399,0.4025546671038251,208.73122565015785,162.35915225329535,-0.2400531708274557,0.36812002954716405,168864.60241033626,-6.572899955593783E-6,3.1068055629730225,0.0,0.0,ACT-CLJ0201.6-0211,7.669666811339E-4,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,VLASS1QLCIR J020137.43-021223.6,40,42,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,12.752204846649999,1.87452247966,0.6939977357599999,0.09686919335,14.211309807180006,2.0473615989360003,7.925282067384,1.071789607008,85.56940599729789,15.907945726812091,6.794694542329999,0.50746365609,0.16099863569,-0.0073091901,0.09083194891,0.042752297300000006,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,S,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,14.211280341936002,2.0473615989360003,7.925183849087999,1.071789607008,85.56577407044671,15.907945726812091,14.046438119472,2.0473615989360003,7.396882355772001,1.071789607008,85.72656414029333,15.907945726812091,14.046409385639999,2.0473615989360003,7.396790480856001,1.071789607008,85.72293221344215,15.907945726812091,T10t04,J020200-023000,30.500304166670002,-2.5,85.4607448926181,92.43683292159297,0.9711453319885148,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.405969973802556+-2.20658081033034+0.025,9.497616867884213,2.8528802394865203,2.1484823226930003,1.9800760746000001
ACT-CLJ0201.6-0211,209.0,165.0,10.0,13.0,30.408807958136684,-2.2058409528599956,0.5692390391997278,208.72705403089287,162.36580775864275,-0.22326418055055103,-0.34274195499219773,42261.58344704516,-6.571536863525284E-6,3.659982681274414,0.0,0.0,ACT-CLJ0201.6-0211,7.669666811339E-4,1.3389287403940613,-0.0104206404557599,0.2212832521007602,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,VLASS1QLCIR J020138.52-021217.9,-5,40,30.410515425048427,-2.20499563002625,0.0,0.0,0.0,0.0,0.9367665043100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78922392232,0.4763458750699999,0.16206475265999998,-0.008822882590000001,0.0,0.0,30.410515425048427,-2.20499563002625,0.0,0.0,E,2183.000000000054,0.0,2922.000000000078,0.0,2183.000000000054,0.0,2922.000000000078,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T10t04,J020200-023000,30.500304166670002,-2.5,68.29659779370955,75.15711750290198,1.4544074479711395,0,4,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.410515425048427+-2.20499563002625+0.025,-99.0,2.8528802394865203,2.1484823226930003,1.9800760746000001
ACT-CLJ0204.5+0321,190.0,101.0,5.0,7.0,31.12210399732904,3.3247049323029136,0.011466233408991972,189.7123704562131,102.33984853555339,1.8321721313087536,1.230050345166498,-13422.228179590118,7.914329339898439E-6,10.25196361541748,0.0,6.0,ACT-CLJ0204.5+0321,5.046796282168E-4,1.031015614118279,0.0216523825074998,0.0362035784379108,19.0,31.121548632393413,3.3261416163507143,0.014053002,3.35,2.6367743,0.108365394,0.0,0.0,132.2,5.91,4.6,161.3,02045+03151T,1,0.39154938,16.714563,g,1,0.39634115,14.344,2009.1807,2454898.4554805704,5.302346639081592E-4,2454898.4553587968,2454898.4598263893,VLASS1QLCIR J020429.16+031934.7,69,77,31.12150736491888,3.32630938555019,3.4846441400000014E-6,4.0043431E-6,11.99734227313,0.23994486522,11.610661666230001,0.13443736072999998,2.930753651472,0.03792096342,2.338221646116,0.024227669664,144.57266530008218,2.2878412272782205,12.90708180993,0.31832598292000003,0.13464625226,-6.678321800000001E-4,0.19700013218,0.05728863471,31.12150736491888,3.32630938555019,3.4846441400000014E-6,4.0043431E-6,S,3227.6653903862048,0.012544718903998999,1234.9920246648064,0.014415635159998847,3227.6653903862048,0.012544718903998999,1234.9920246648064,0.014415635159998847,2.930695280964,0.03792096342,2.338206079032,0.024227669664,144.59474665801156,2.2878412272782205,0.5299934825160001,0.03792096342,0.402527091528,0.024227669664,113.92713457883232,2.2878412272782205,0.52997940018,0.03792096342,0.40252709034,0.024227669664,113.94921593676165,2.2878412272782205,T11t04,J020600+033000,31.502058333329998,3.5,9.238333329345773,0.6219126409682232,25.41503150849316,0,0,J020429.16+031934.7,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t04.J020600%2B033000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Desg7i1lars0v0tha&CIRCLE=31.12150736491888+3.32630938555019+0.025,70.30301622549236,2.8878819942474,2.2963914871214404,-34.4312171936
ACT-CLJ0204.5+0321,190.0,101.0,5.0,10.0,31.12210399732904,3.3247049323029136,0.011466233408991972,189.7123704562131,102.33984853555339,1.8321721313087536,1.230050345166498,-13422.228179590118,7.914329339898439E-6,10.25196361541748,0.0,6.0,ACT-CLJ0204.5+0321,5.046796282168E-4,1.031015614118279,0.0216523825074998,0.0362035784379108,19.0,31.121548632393413,3.3261416163507143,0.014053002,3.35,2.6367743,0.108365394,0.0,0.0,132.2,5.91,4.6,161.3,02045+03151T,1,0.39154938,16.714563,g,1,0.39634115,14.344,2009.1807,2454898.4554805704,5.302346639081592E-4,2454898.4553587968,2454898.4598263893,VLASS1QLCIR J020429.16+031934.7,69,77,31.12150736491888,3.32630938555019,3.4846441400000014E-6,4.0043431E-6,11.99734227313,0.23994486522,11.610661666230001,0.13443736072999998,2.930753651472,0.03792096342,2.338221646116,0.024227669664,144.57266530008218,2.2878412272782205,12.90708180993,0.31832598292000003,0.13464625226,-6.678321800000001E-4,0.19700013218,0.05728863471,31.12150736491888,3.32630938555019,3.4846441400000014E-6,4.0043431E-6,S,3227.6653903862048,0.012544718903998999,1234.9920246648064,0.014415635159998847,3227.6653903862048,0.012544718903998999,1234.9920246648064,0.014415635159998847,2.930695280964,0.03792096342,2.338206079032,0.024227669664,144.59474665801156,2.2878412272782205,0.5299934825160001,0.03792096342,0.402527091528,0.024227669664,113.92713457883232,2.2878412272782205,0.52997940018,0.03792096342,0.40252709034,0.024227669664,113.94921593676165,2.2878412272782205,T11t04,J020600+033000,31.502058333329998,3.5,9.238333329345773,0.6219126409682232,25.41503150849316,0,0,J020429.16+031934.7,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t04.J020600%2B033000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Desg7i1lars0v0tha&CIRCLE=31.12150736491888+3.32630938555019+0.025,70.30301622549236,2.8878819942474,2.2963914871214404,-34.4312171936
ACT-CLJ0204.5+0321,190.0,101.0,5.0,13.0,31.12210399732904,3.3247049323029136,0.011466233408991972,189.7123704562131,102.33984853555339,1.8321721313087536,1.230050345166498,-13422.228179590118,7.914329339898439E-6,10.25196361541748,0.0,6.0,ACT-CLJ0204.5+0321,5.046796282168E-4,1.031015614118279,0.0216523825074998,0.0362035784379108,19.0,31.121548632393413,3.3261416163507143,0.014053002,3.35,2.6367743,0.108365394,0.0,0.0,132.2,5.91,4.6,161.3,02045+03151T,1,0.39154938,16.714563,g,1,0.39634115,14.344,2009.1807,2454898.4554805704,5.302346639081592E-4,2454898.4553587968,2454898.4598263893,VLASS1QLCIR J020429.16+031934.7,69,77,31.12150736491888,3.32630938555019,3.4846441400000014E-6,4.0043431E-6,11.99734227313,0.23994486522,11.610661666230001,0.13443736072999998,2.930753651472,0.03792096342,2.338221646116,0.024227669664,144.57266530008218,2.2878412272782205,12.90708180993,0.31832598292000003,0.13464625226,-6.678321800000001E-4,0.19700013218,0.05728863471,31.12150736491888,3.32630938555019,3.4846441400000014E-6,4.0043431E-6,S,3227.6653903862048,0.012544718903998999,1234.9920246648064,0.014415635159998847,3227.6653903862048,0.012544718903998999,1234.9920246648064,0.014415635159998847,2.930695280964,0.03792096342,2.338206079032,0.024227669664,144.59474665801156,2.2878412272782205,0.5299934825160001,0.03792096342,0.402527091528,0.024227669664,113.92713457883232,2.2878412272782205,0.52997940018,0.03792096342,0.40252709034,0.024227669664,113.94921593676165,2.2878412272782205,T11t04,J020600+033000,31.502058333329998,3.5,9.238333329345773,0.6219126409682232,25.41503150849316,0,0,J020429.16+031934.7,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t04.J020600%2B033000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Desg7i1lars0v0tha&CIRCLE=31.12150736491888+3.32630938555019+0.025,70.30301622549236,2.8878819942474,2.2963914871214404,-34.4312171936
ACT-CLJ0206.2-0114,194.0,152.0,5.0,7.0,31.555593699076194,-1.2490594237170807,0.00283815333873058,193.73624841950235,150.70957750613636,3.1107945326231885,2.4725721554798246,14253.38363273451,-2.546047953435037E-6,6.934466361999512,0.0,11.0,ACT-CLJ0206.2-0114,4.683427475208E-4,1.1284957574251888,-0.0051992397809887,0.0781138366277685,19.0,31.55463726728558,-1.2500555656453272,0.014053002,6.1,7.090599,0.13354528,2.88,1.89,177.5,7.02,5.72,179.3,02075-01050E,3,0.55976826,20.871845,g,0,99.0,99.0,1996.0652,2450107.3735045716,567.023265000846,2450038.751215278,2454927.412604167,VLASS1QLCIR J020613.10-011459.9,36,41,31.55462457273627,-1.2499931897166399,2.693578943E-5,5.6378612479999994E-5,4.96538480191,0.53722701912,1.87237367788,0.15173339441999995,5.170026652524,0.4803167946959999,3.1590276221880003,0.223303600584,173.5564703591954,9.13915588285638,4.670479923409999,0.32305536578,0.14635661500999994,-5.201962899999999E-4,0.21450918575,0.04081716179,31.55462457273627,-1.2499931897166399,2.693578943E-5,5.6378612479999994E-5,S,1664.2231677443406,0.09696884194799224,2760.0192282932635,0.20296300492798366,1664.2231677443406,0.09696884194799224,2760.0192282932635,0.20296300492798366,5.169975638004,0.4803167946959999,3.1590272972520004,0.223303600584,173.55765686105246,9.13915588285638,4.3416251078400006,0.4803167946959999,2.2186985461560003,0.223303600584,168.35643562419992,9.13915588285638,4.34158182612,0.4803167946959999,2.2186985434560005,0.223303600584,168.3576221260569,9.13915588285638,T10t04,J020600-013000,31.500229166670003,-1.5,1.3701417273645575,0.2291543901752482,3.8146152719953217,0,0,J020613.10-011459.9,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020600-013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Desg7i1lars0v0tha&CIRCLE=31.55462457273627+-1.24999318971664+0.025,396.4088046012528,2.9060046672822004,2.11926460266108,13.30078125
