cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps
ACT-CLJ0200.3+0019,168.0,169.0,3.2,2.0,10.0,30.08734196611677,0.32757918364171584,8.939522765649985e-05,0.013327295891940594,168.0,169.0,3.0,0.013926087133488047,66.87311190123842,168.46233072367662,168.7213596450935,0.3623847115922435,49.24818801879883,0.0,0.000122121098684147,3812276.75
ACT-CLJ0200.3+0019,181.0,179.0,3.2,2.0,10.0,30.080119620028288,0.33313473415316397,0.0002472074429934511,0.0013125976547598839,181.0,179.0,3.0,0.0013715722573888573,11.883610411140776,179.93033985968697,178.75497462731315,-0.3915719504098086,7.799314022064209,0.0,0.00012454642273951322,3742779.5
ACT-CLJ0201.6-0211,156.0,171.0,5.120000000000001,2.0,10.0,30.428911042918273,-2.197522989260896,0.00010488123733208685,0.001352854073047638,156.0,171.0,3.0,0.0014136373839758961,5.425236643772787,155.10273610230706,171.3935623625133,0.4122355296842425,5.656224727630615,0.0,0.00013706227764487267,4044124.0
ACT-CLJ0201.6-0211,128.0,168.0,5.120000000000001,2.0,10.0,30.44447806762012,-2.199189540112098,0.0003347672652227937,0.0015196684980764985,128.0,168.0,3.0,0.001587946729015609,5.408314168148845,128.63281212249416,168.02466519426366,0.37159693229973134,5.7704315185546875,0.0,0.00014799127529840916,3513853.25
ACT-CLJ0201.6-0503,270.0,164.0,3.2,2.0,10.0,30.35246993090884,-5.058017730577192,0.0010473767387989244,0.021671665832400322,270.0,164.0,3.0,0.022645367008948217,31.711526541035767,269.55558142144065,164.05998514958011,0.38131704401318584,32.95976638793945,0.0,0.00043901591561734676,342866.9375
ACT-CLJ0203.0-0042,166.0,163.0,3.2,2.0,10.0,30.750186588333285,-0.7101276704818641,3.9978761266027554e-05,0.0062779635190963745,166.0,163.0,3.0,0.00656003045904198,30.31546749182999,165.81071602443515,163.27104668678325,0.37841128072424224,31.862520217895508,0.0,0.00012373345089145005,4976848.0
ACT-CLJ0203.2-0123,164.0,179.0,3.2,2.0,10.0,30.815395900969442,-1.390753180310845,0.00016597347203687595,0.003424946218729019,164.0,179.0,3.0,0.0035788279825297465,14.907776985776364,164.01182940399573,179.0962161490379,0.3501050197075194,17.60135269165039,0.0,0.00012473564129322767,4658644.0
ACT-CLJ0248.0-0331,173.0,172.0,3.2,2.0,10.0,42.013259755175,-3.529051119408406,0.0001441454727522926,0.002929621608927846,173.0,172.0,3.0,0.0030612485927284374,11.51325617838848,173.3363283765874,172.20504561074478,-0.4074557966203831,13.697317123413086,0.0,0.00012152061390224844,4837591.5
ACT-CLJ0248.0-0331,269.0,149.0,8.192000000000002,2.0,10.0,41.95982429451513,-3.5418270088804404,0.0010451302088745368,-0.002278365660458803,269.0,149.0,3.0,-0.0023807319179191943,2.0466580390930176,269.0,149.0,3.0,2.52608323097229,0.0,0.00038974982453510165,518558.375
ACT-CLJ0248.2+0238,184.0,160.0,3.2,2.0,10.0,42.04656078825868,2.6331518675496786,0.00021419768726784844,0.026181219145655632,184.0,160.0,3.0,0.027357533143976435,121.33530869641717,183.68456310343825,160.40803301607588,0.368040076059372,57.20205307006836,0.0,0.00012766664440277964,3814088.5
ACT-CLJ0248.2-0216,199.0,192.0,5.120000000000001,2.0,10.0,42.03920866104936,-2.253232556607977,0.00046187248409627104,0.004961229860782623,199.0,192.0,3.0,0.005184136368751492,23.66368033405003,199.29208129510778,192.36640110588053,-0.3719973752468467,25.98055648803711,0.0,0.000154091976583004,3013779.0
ACT-CLJ0248.2-0216,231.0,244.0,8.192000000000002,2.0,10.0,42.02141789906344,-2.2243433231526484,0.0010391307973289063,-0.0016511880094185472,231.0,244.0,3.0,-0.0017253753709211839,0.8794169425964355,231.0,244.0,3.0,1.006753921508789,0.0,0.0003056732821278274,926607.25
ACT-CLJ0248.3+0122,166.0,236.0,5.120000000000001,2.0,10.0,42.09918320091757,1.4117895288292674,0.000718571622976345,0.0024452328216284513,166.0,236.0,3.0,0.0025550963685180275,7.374518052829654,166.59023008537065,235.58114891480955,0.38780511874388135,8.093278884887695,0.0,0.00020298597519285977,1759955.25
ACT-CLJ0248.3-0337,167.0,255.0,5.120000000000001,2.0,10.0,42.08960496814033,-3.572441894812793,0.0009030555454170754,0.007179360371083021,167.0,255.0,3.0,0.00750192679003055,14.418314804928492,166.71549373740274,254.98553682050033,-0.3447244943846894,17.791213989257812,0.0,0.00024280851357616484,1196997.25
ACT-CLJ0248.7-0019,165.0,163.0,3.2,2.0,10.0,42.199432701886565,-0.32737862002248563,3.0662310195255027e-05,0.02804209664463997,165.0,163.0,3.0,0.029302019287731566,115.99079351475501,165.51444951711244,163.26908560037938,0.36560599316585385,58.65280532836914,0.0,0.00013571578892879188,4277739.0
ACT-CLJ0248.9-0328,162.0,178.0,3.2,2.0,10.0,42.243686676,-3.4724984877571785,0.000155140380467154,0.006330121774226427,162.0,178.0,3.0,0.006614532168283017,24.898750757837867,162.00942795446468,178.19309506874515,-0.355082816168067,27.488887786865234,0.0,0.00014753066352568567,3270699.5
ACT-CLJ0248.9-0328,243.0,269.0,8.192000000000002,2.0,10.0,42.198606332044406,-3.421941895566655,0.0013012522225239517,0.0026104915887117386,243.0,269.0,3.0,0.0027277801603865937,3.2547323000040285,244.74412605571467,268.52508679318515,-0.14544651122020155,3.250152826309204,0.0,0.0007231124327518046,175714.953125
