cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps
ACT-CLJ0200.3+0019,168.0,169.0,3.2,2.0,6.0,30.08734196611677,0.32757918364171584,8.939522765649985e-05,0.009381150879114925,167.99999983722125,168.99999094002874,2.9999662624400183,0.5304796527188017,3.1244855571929864,66.87311956825226,168.46231386715348,168.72140248354242,2.759506407782282,49.24818801879883,0.0,0.000122121098684147,3812276.75
ACT-CLJ0200.3+0019,181.0,179.0,3.2,2.0,6.0,30.080119620028288,0.33313473415316397,0.0002472074429934511,0.0013698412246638968,180.99999986128722,178.99999994895182,2.9999999227150607,0.07746269231266065,3.1273000219413647,11.891298807332447,179.93053139437407,178.75380799179348,2.553444137007886,7.799314022064209,0.0,0.00012454642273951322,3742779.5
ACT-CLJ0201.6-0211,156.0,171.0,5.120000000000001,2.0,6.0,30.428911042918273,-2.197522989260896,0.00010488123733208685,0.0006922779720732672,155.9999998373618,170.99999998327831,2.999999618854164,0.03914738709628922,3.2428474948012065,5.420387290402363,155.09846846910935,171.37962234841984,2.4259085519538828,5.656224727630615,0.0,0.00013706227764487267,4044124.0
ACT-CLJ0201.6-0211,128.0,168.0,5.120000000000001,2.0,6.0,30.44447806762012,-2.199189540112098,0.0003347672652227937,0.0009010858920667627,128.00000000188058,167.99999994816034,2.9999995408245823,0.05095519113961522,3.2428308271957276,5.39928237566392,128.6295836137111,168.0326409739337,2.6931986884319916,5.7704315185546875,0.0,0.00014799127529840916,3513853.25
ACT-CLJ0201.6-0503,270.0,164.0,3.2,2.0,6.0,30.35246993090884,-5.058017730577192,0.0010473767387989244,0.015525579760876748,269.9999767222555,163.99999029752425,2.9998980974063127,0.8778912091178948,3.206693213677214,31.715995469078518,269.5556016801794,164.0601340915108,2.6222934849276047,32.95976638793945,0.0,0.00043901591561734676,342866.9375
ACT-CLJ0203.0-0042,166.0,163.0,3.2,2.0,6.0,30.750186588333285,-0.7101276704818641,3.9978761266027554e-05,0.004177138808514334,165.99999831883156,162.99999955123766,2.9999918117070337,0.23621034524441065,3.179962626416699,30.317478111583753,165.8111234085981,163.27088765627758,2.642551670233405,31.862520217895508,0.0,0.00012373345089145005,4976848.0
ACT-CLJ0203.2-0123,164.0,179.0,3.2,2.0,6.0,30.815395900969442,-1.390753180310845,0.00016597347203687595,0.002216788333626812,163.99999969255197,178.9999996852545,2.9999977971638945,0.1253562428896986,3.194682608058307,14.90359552968335,164.01285724097275,179.09685946987454,2.856594759750528,17.60135269165039,0.0,0.00012473564129322767,4658644.0
ACT-CLJ0248.0-0331,173.0,172.0,3.2,2.0,6.0,42.013259755175,-3.529051119408406,0.0001441454727522926,0.001479414978422175,172.99999990775663,171.99999988110756,2.9999977694236764,0.08365882169572916,3.187143041046984,11.521868571463305,173.33449545804768,172.20729769507065,2.4533297498401456,13.697317123413086,0.0,0.00012152061390224844,4837591.5
ACT-CLJ0248.2+0238,184.0,160.0,3.2,2.0,6.0,42.04656078825868,2.6331518675496786,0.00021419768726784844,0.01731628698575565,183.9999680003637,159.99999469288176,2.999859597304597,0.9791213057264309,3.1854124952283676,121.33476433127016,183.68455647392318,160.40801477569963,2.7170965992888996,57.20205307006836,0.0,0.00012766664440277964,3814088.5
ACT-CLJ0248.2-0216,199.0,192.0,5.120000000000001,2.0,6.0,42.03920866104936,-2.253232556607977,0.00046187248409627104,0.00423311036992348,198.99999966540216,191.999999878111,2.999995367484886,0.23937601264271138,3.2500869626970457,23.695612568830306,199.29195039338106,192.36590299060785,2.6865536566164203,25.98055648803711,0.0,0.000154091976583004,3013779.0
ACT-CLJ0248.3+0122,166.0,236.0,5.120000000000001,2.0,6.0,42.09918320091757,1.4117895288292674,0.000718571622976345,0.001634072635934838,166.0000000144485,235.99999965742356,2.999998716092975,0.09240455150011063,3.2722820208327645,7.431194289942043,166.58421151564085,235.5794811653402,2.570583689917942,8.093278884887695,0.0,0.00020298597519285977,1759955.25
ACT-CLJ0248.3-0337,167.0,255.0,5.120000000000001,2.0,6.0,42.08960496814033,-3.572441894812793,0.0009030555454170754,0.004191480023219743,166.99999787693926,254.99999885713032,2.9999902921294916,0.2370210772876828,3.281077982988371,14.412039034993724,166.71573485589343,254.98708244577958,2.9016456215183855,17.791213989257812,0.0,0.00024280851357616484,1196997.25
ACT-CLJ0248.7-0019,165.0,163.0,3.2,2.0,6.0,42.199432701886565,-0.32737862002248563,3.0662310195255027e-05,0.01829554501976502,165.00000043272345,162.9999896232047,2.9998380446233233,1.0344769951090633,3.313408704647893,115.99056251814322,165.51445633666765,163.26909335658743,2.7351805312515305,58.65280532836914,0.0,0.00013571578892879188,4277739.0
ACT-CLJ0248.9-0328,162.0,178.0,3.2,2.0,6.0,42.243686676,-3.4724984877571785,0.000155140380467154,0.004367848462101413,161.99999902721203,177.99999930868267,2.999992394870219,0.24699475924000158,3.388201305195663,24.901119094231202,162.00934492135733,178.1930621229579,2.8161527156856296,27.488887786865234,0.0,0.00014753066352568567,3270699.5
ACT-CLJ0249.6+0210,207.0,165.0,3.2,2.0,6.0,42.400103366954504,2.170033369065867,0.00043730084809851704,0.0018665975375485326,206.99999972871382,164.9999999341955,2.999996320417364,0.105553345072436,3.342436498422336,9.910356915504398,207.068302500949,165.4777559735012,2.5853108611748365,11.858551025390625,0.0,0.0001701653382042423,2376223.5
ACT-CLJ0253.5-0017,160.0,272.0,5.120000000000001,2.0,6.0,43.39451703421994,-0.23585564208636464,0.0010667660009325377,0.01585076479888715,160.0000021772694,271.9999703068119,2.999852143748059,0.8962512816589223,3.3621998401278863,36.9187858605475,160.5737981391485,271.4565901579787,2.7046350914024813,36.59038543701172,0.0,0.0003756421501748264,533093.75
ACT-CLJ0254.4-0538,158.0,166.0,5.120000000000001,2.0,6.0,43.61411046495443,-5.637724234190981,5.4850407917009116e-05,0.0038811728920878723,158.00000025996152,165.99999827024445,2.9999906413758493,0.21947378709018164,3.4171083552350576,22.623299956051245,158.6327297949026,165.74135574164933,2.709677315010879,24.960098266601562,0.0,0.0001512175367679447,3347530.0
ACT-CLJ0256.5+0006,168.0,177.0,5.120000000000001,2.0,6.0,44.13289331440838,0.11154220298360502,0.0001566480969237335,0.0017348923227938024,167.99999989126422,177.00000015359103,2.999998872487749,0.09810577582536581,3.3510858358755082,10.284428451985201,168.07840748967095,177.85193530777093,2.6588630498413415,12.01146411895752,0.0,0.00014971847122069448,3825836.5
ACT-CLJ0258.4+0147,231.0,167.0,3.2,2.0,6.0,44.58158571161069,1.7967677491878946,0.0006707970669664193,0.016680991414392873,231.00000297163086,166.99996994229897,2.9998916162638625,0.9432196846677814,3.3546520322483526,67.7702607752327,231.46192898320237,166.6682056940582,2.677907192156793,50.44069290161133,0.0,0.00021793371706735343,1527353.5
ACT-CLJ0259.4-0524,233.0,240.0,5.120000000000001,2.0,6.0,44.82657375912039,-5.36686504053285,0.0010227152488874027,0.004095955247233934,232.99999785636277,239.99999939900005,2.999997124687844,0.2316203684666895,3.321507194009383,9.47627964826059,232.3194874215353,240.10789267545093,2.717027239247373,10.88502311706543,0.0,0.0004060600185766816,328206.375
ACT-CLJ0300.2+0125,136.0,175.0,3.2,2.0,6.0,45.07028844976206,1.4247181430348492,0.0002818598496804805,0.010972790667635585,135.99999844743613,174.99999791797117,2.999930551326702,0.6204679657992134,3.9519622027729895,58.457955219437785,136.3911587431999,175.37902234961115,2.6649077088161013,45.93809127807617,0.0,0.00016538726049475372,2523447.5
ACT-CLJ0301.5-0248,158.0,166.0,3.2,2.0,6.0,45.390564894952306,-2.810605362739421,5.485040791692745e-05,0.0012560081818725286,157.9999999578931,165.99999961959887,2.9999969840592318,0.07102544658044074,3.3227505255407936,10.984375513810717,158.36112243380825,165.73395327768006,1.9851829212275987,10.873100280761719,0.0,0.00014125971938483417,3604090.25
ACT-CLJ0839.5-0140,173.0,174.0,5.120000000000001,2.0,6.0,129.8744252225712,-1.6730429966128988,0.0001578439012574666,0.001988220996482307,172.99999986378307,173.99999971666008,2.9999993419936097,0.11243119925239765,3.1465006603748313,13.53675101980699,173.05621135380898,173.77292999748732,2.8353376213638803,15.052486419677734,0.0,0.00012624732335098088,4452519.0
ACT-CLJ0839.5-0140,254.0,123.0,5.120000000000001,2.0,6.0,129.82940530246785,-1.7013756619412368,0.0009688995890561799,0.002185018071058035,254.00000001499407,122.99999999929496,3.0000002787463966,0.12355988392118863,3.1468706850287322,4.258001691386909,254.213966830614,123.98961605787875,4.747440681722997,3.277693033218384,0.0,0.00037275184877216816,618927.125
ACT-CLJ0839.5-0150,95.0,104.0,3.2,2.0,6.0,129.9171402516615,-1.8763503130013244,0.0008592559830681089,0.0034753815676140075,94.99999857349653,103.99999944917656,2.999996892807871,0.19652779052190747,3.165920149720632,13.120868624597271,94.70759360611581,104.1784966348997,2.5163143545226805,15.458717346191406,0.0,0.0002573637175373733,1231719.5
ACT-CLJ0842.3+0033,225.0,212.0,3.2,2.0,6.0,130.5639667277687,0.5787845814668613,0.0007798720584037929,0.017017439251857946,224.99999871044875,211.9999890264677,2.9998461342732092,0.9622148096099594,3.1716006246994293,71.37836013448101,225.3971750296183,212.13438812777767,2.6151102106351534,52.25769805908203,0.0,0.00020898315415252,1668725.375
ACT-CLJ0842.3+0033,44.0,219.0,5.120000000000001,2.0,6.0,130.66452741454987,0.5826731959916571,0.0012706552179494153,0.00844334784090299,43.99999885447013,218.99999911318423,3.0000039872284288,0.47746134103873816,3.1797894265646485,6.930918112105706,43.996316303523734,219.16183407343323,3.7567142771413784,5.783632755279541,0.0,0.0009090364910662174,43087.58984375
ACT-CLJ0842.9+0424,178.0,265.0,3.2,2.0,6.0,130.73000631344266,4.453607343748663,0.0010106937741252435,0.004252276389035263,177.99999931746638,265.0000003861835,2.9999868224999653,0.24045845232544968,3.1797876918083903,11.47951290168127,178.23411403824477,265.42286144582187,2.824508174524978,14.081178665161133,0.0,0.00030188437085598707,688489.875
ACT-CLJ0844.6+0216,172.0,160.0,5.120000000000001,2.0,6.0,131.16813086676157,2.272737888642643,9.888297888940045e-05,0.0018232616626489661,171.99999957602182,159.99999969322016,2.999998952288247,0.1031029459942817,3.1745176048025106,11.637724362643892,171.6626299026341,159.78131237003828,3.0838476227981353,14.16569995880127,0.0,0.00012924656039103866,4473494.0
ACT-CLJ0845.4+0327,171.0,207.0,3.2,2.0,6.0,131.3670610511735,3.484586367644128,0.0004449733770848837,0.017183468402987,170.99999678313227,206.99998121568845,2.999854235287542,0.9716078214593383,3.1809160365334557,101.85443204054934,171.39156282629287,207.05862300900358,2.6858486209723913,57.79252243041992,0.0,0.00014798861229792237,3360045.0
ACT-CLJ0848.4+0412,246.0,159.0,3.2,2.0,6.0,132.06091942258416,4.200835141747444,0.0008150061012438209,0.0037210757966209328,245.99999938034583,159.00000010894294,2.999997894972995,0.21042158365435049,3.178769292350974,13.427307158459907,245.79149325539845,159.43532538700808,2.609819228231174,15.278803825378418,0.0,0.0002420328528387472,1141060.875
ACT-CLJ0849.8+0440,189.0,167.0,3.2,2.0,6.0,132.44130985807453,4.671926539352691,0.0002662505635467982,0.01633029074675184,188.99996978343245,166.99997519318737,2.9999068682567485,0.9233988514380064,3.238360302980203,105.61985058944786,188.57178234522056,166.7437184457226,2.6558370306985055,58.81897735595703,0.0,0.00014182906306814402,3846316.5
ACT-CLJ0852.2-0101,202.0,196.0,3.2,2.0,6.0,133.05184052236388,-1.0050279954979422,0.000509031246636049,0.003952056979936795,201.9999986773719,195.9999993516237,2.999995098483675,0.22348282687367274,3.2098758288415663,21.050479838196516,201.7967038008037,196.0782262856151,2.6388036901169873,22.764705657958984,0.0,0.0001697968109510839,2090797.875
ACT-CLJ0852.2-0101,182.0,72.0,5.120000000000001,2.0,6.0,133.0629531029575,-1.0739169280825478,0.0008939520408112825,0.0015988659207429924,181.99999995596096,72.00000000799129,3.0000005684873523,0.09041377201831027,3.210394639806561,4.047091579400989,181.091712263069,72.40122085510825,4.645873961734088,3.8967092037200928,0.0,0.0002627002540975809,978744.25
ACT-CLJ0853.4+0132,168.0,239.0,3.2,2.0,6.0,133.36176244266326,1.58189415078732,0.0007488761781139164,0.0018648626148408361,167.99999999236022,238.9999997366582,2.999999214043807,0.10545544117769493,3.2154874883669238,8.575815938596312,168.42208639588884,238.71142549431912,2.588465596859726,9.911149978637695,0.0,0.00019547481497284025,1638910.875
ACT-CLJ0853.4+0132,200.0,43.0,5.120000000000001,2.0,6.0,133.3439789708601,1.4730051992171447,0.0012112576894662396,0.0036670518578391397,199.99999672370885,42.99999821116898,2.9999830744191063,0.20736455732103637,3.216713703375654,5.573595237663399,199.31882196778471,42.853908334575294,2.629944897293418,6.211936950683594,0.0,0.000634708208963275,98522.375
ACT-CLJ0855.4-0106,168.0,163.0,3.2,2.0,6.0,133.86824806453697,-1.1165647085011958,5.8980131232011966e-05,0.017551231779668434,167.9999865949178,162.99998210689836,2.999864651284038,0.992409221165279,3.22689228309058,114.5669034240644,168.15754351411556,163.06916065635372,2.770964797803823,58.00179672241211,0.0,0.0001317826972808689,4073394.0
ACT-CLJ0856.3+0146,171.0,178.0,3.2,2.0,6.0,134.08302551140935,1.7905452666827109,0.00017799992480890036,0.0041453985325149234,170.99999864768367,177.99999995940013,2.9999913154500515,0.2344154071663461,3.2067088361316216,28.8960199909406,170.88727561006502,178.45527909208025,2.7513516213225517,30.3301944732666,0.0,0.0001243528677150607,4411286.0
ACT-CLJ0856.4-0013,212.0,164.0,5.120000000000001,2.0,6.0,134.07801118588128,-0.22950577413597442,0.00048520135071147336,0.0021285500243711096,211.99999975053012,163.9999999007672,2.9999994623438746,0.12036662500461401,3.1939892849999403,10.887394751185385,211.7646478617224,164.15247458175298,3.2174704188451746,12.373416900634766,0.0,0.00015120769967325032,2420234.5
ACT-CLJ0856.5+0143,110.0,60.0,5.120000000000001,2.0,6.0,134.15904331847557,1.6671336784353123,0.0011101276274352418,0.004060024251064727,109.99999550301287,59.999996982614995,2.999991674259897,0.22958768815949113,3.179884150605741,6.015474657099182,109.57544335173003,59.823055752705,3.1639941983602364,7.422779083251953,0.0,0.0005895851645618677,220210.8125
