cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
ACT-CLJ0200.3+0019,258.0,170.0,3.2,2.0,4.0,30.03709320490783,0.3281502438148852,0.0009340685180321654,0.0017892505143814966,257.999999716763,169.9999999644598,2.9999989602629773,0.10117966275189737,0.6171884420529493,4.957603636474146,257.8288587937347,170.46208767046923,2.706797861177926,5.316007137298584,0.0,0.0003161290951538831,482333.875,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,258.0,170.0,3.2,2.0,5.0,30.03709320490783,0.3281502438148852,0.0009340685180321654,0.0017892505143814966,257.999999716763,169.9999999644598,2.9999989602629773,0.10117966275189737,0.6171884420529493,4.957603636474146,257.8288587937347,170.46208767046923,2.706797861177926,5.316007137298584,0.0,0.0003161290951538831,482333.875,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,258.0,170.0,3.2,2.0,6.0,30.03709320490783,0.3281502438148852,0.0009340685180321654,0.0017892505143814966,257.999999716763,169.9999999644598,2.9999989602629773,0.10117966275189737,0.6171884420529493,4.957603636474146,257.8288587937347,170.46208767046923,2.706797861177926,5.316007137298584,0.0,0.0003161290951538831,482333.875,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,223.0,124.0,5.120000000000001,2.0,6.0,30.056538042625142,0.3025947778417004,0.0006968510610230972,0.001030159455112972,223.00000000884035,123.99999993331,3.000000176463421,0.05825415162491224,0.35537874804540354,3.7863705988040706,222.81503912991732,123.68428501272932,3.78836782871127,3.8485443592071533,0.0,0.00019448659440968186,1346819.5,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,118.0,262.0,5.120000000000001,2.0,6.0,30.114872366299885,0.3792614464123787,0.0010593369371721202,0.0011742188818403558,117.99999999801366,261.99999999844005,2.999999832441095,0.06640050601479816,0.405149221335421,3.0669250750323607,118.291808655918,261.74217514117146,3.4549328155940913,3.112250804901123,0.0,0.0002785860560834408,625697.4375,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,258.0,170.0,3.2,2.0,7.0,30.03709320490783,0.3281502438148852,0.0009340685180321654,0.0017892505143814966,257.999999716763,169.9999999644598,2.9999989602629773,0.10117966275189737,0.6171884420529493,4.957603636474146,257.8288587937347,170.46208767046923,2.706797861177926,5.316007137298584,0.0,0.0003161290951538831,482333.875,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,223.0,124.0,5.120000000000001,2.0,7.0,30.056538042625142,0.3025947778417004,0.0006968510610230972,0.001030159455112972,223.00000000884035,123.99999993331,3.000000176463421,0.05825415162491224,0.35537874804540354,3.7863705988040706,222.81503912991732,123.68428501272932,3.78836782871127,3.8485443592071533,0.0,0.00019448659440968186,1346819.5,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,118.0,262.0,5.120000000000001,2.0,7.0,30.114872366299885,0.3792614464123787,0.0010593369371721202,0.0011742188818403558,117.99999999801366,261.99999999844005,2.999999832441095,0.06640050601479816,0.405149221335421,3.0669250750323607,118.291808655918,261.74217514117146,3.4549328155940913,3.112250804901123,0.0,0.0002785860560834408,625697.4375,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,258.0,170.0,3.0,3.0,4.0,30.03709320490783,0.3281502438148852,0.0009340685180321654,0.0017892505143814966,257.999999716763,169.9999999644598,2.9999989602629773,0.10117966275189737,0.6171884420529493,4.957603636474146,257.8288587937347,170.46208767046923,2.706797861177926,5.316007137298584,0.0,0.0003161290951538831,482333.875,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
ACT-CLJ0200.3+0019,223.0,124.0,4.800000000000001,3.0,5.0,30.056538042625142,0.3025947778417004,0.0006968510610230972,0.001030159455112972,223.00000000884035,123.99999993331,3.000000176463421,0.05825415162491224,0.35537874804540354,3.7863705988040706,222.81503912991732,123.68428501272932,3.78836782871127,3.8485443592071533,0.0,0.00019448659440968186,1346819.5,0,ACT-CLJ0200.3+0019,0.0001339813306553,1.0081997770385955,0.1141923670793459,0.0,3219.08328599533,-0.0042053867153282,1.0432557649733696,20.0
