cluster,x,y,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma_x_fit,sigma_y_fit,theta,offset,amp_snr,x_snr,y_snr,sigma_x_snr,sigma_y_snr,theta_snr,offset_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type,RA,DEC,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
ACT-CLJ0200.3+0019,258.0,170.0,2.0,4.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,2.0,5.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,2.0,6.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,2.0,7.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.0,4.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.0,5.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.0,6.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,3.0,7.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,4.0,5.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
ACT-CLJ0200.3+0019,258.0,170.0,4.0,6.0,30.03709320490783,0.3281502438148852,9.340685180321654E-4,0.0017951223048511729,257.99999971808677,169.99999996461386,2.9999992992161078,2.9999996763827275,0.0,-1.2631529604229116E-6,4.8903050234393115,257.7966071494066,170.39833919416975,2.4667391985053873,3.10368559057216,-0.40921255286188174,-0.0036153667379541054,5.316007137298584,0.0,-7.384219788946211E-4,3.161290951538831E-4,,,,,,,,,,,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,11,4.1134546542533466
