,cluster,Component_name,Component_id_x,ra_vlass,dec_vlass,pix_x,pix_y,amp_map,x_map,y_map,sigma_map,offset_map,amp_snr,x_snr,y_snr,sigma_snr,offset_snr,col1,ra_1,dec_1,Component_id_y,Isl_id,RA_2,DEC_2,E_RA,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,Maj,E_Maj,Min,E_Min,PA,E_PA,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,RA_max,DEC_max,E_RA_max,E_DEC_max,S_Code,Xposn,E_Xposn,Yposn,E_Yposn,Xposn_max,E_Xposn_max,Yposn_max,E_Yposn_max,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Tile,Subtile,QL_image_RA,QL_image_DEC,NVSS_distance,FIRST_distance,Peak_to_ring,Duplicate_flag,Quality_flag,Source_name,Source_type,QL_cutout,NN_dist,BMAJ,BMIN,BPA,GroupID,GroupSize,Separation
0,ACT-CLJ0200.3+0019,VLASS1QLCIR J020008.95+001937.3,71.0,30.03733042318045,0.32704187815202,260.76587642636105,166.30486456413797,0.0017517904237737097,260.76587596676126,166.304864830564,3.000000327573505,-8.830509068614587e-06,4.672339626408852,259.00355605025777,169.56416913265906,3.2646818851472794,-0.013156741049313333,0,30.0904273987,0.323705941439,71,74,30.03733042318045,0.32704187815202,3.861390009999998e-06,6.44401661e-06,10.46049276621,0.3143385852699999,10.364571441910002,0.17843488734,2.792614776804,0.054630581076,2.1603201720480003,0.032730314256,179.3196977066967,3.05420306628414,11.00792890154,0.5453122057600001,0.18023519078,-0.0015963076999999,0.29810323031,0.13871902775,30.03733042318045,0.32704187815202,3.861390009999998e-06,6.44401661e-06,S,3525.640238177655,0.0139010040359988,1237.4103968832912,0.0231984597959981,3525.640238177655,0.0139010040359988,1237.4103968832912,0.0231984597959981,2.792601238536,0.054630581076,2.160250364556,0.032730314256,179.32233981540412,3.05420306628414,0.0,0.054630581076,0.0,0.032730314256,0.0,3.05420306628414,0.0,0.054630581076,0.0,0.032730314256,0.0,3.05420306628414,T11t04,J020200+003000,30.50002083333,0.5,4.399678096807687,0.053068870935925,26.649431600917648,0,0,J020008.95+001937.3,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t04.J020200%2B003000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.03733042318045+0.32704187815202+0.025,283.18660138595965,2.71230483055104,2.2038078308104803,-4.4677734375,,,191.522922040299
1,ACT-CLJ0201.6-0211,VLASS1QLCIR J020125.80-021111.4,46.0,30.35750184117568,-2.18651586223024,289.9904864892712,182.1370410981162,-2.9395649434723998e-06,289.9904864892712,182.1370410981162,3.0,-2.729451523613953e-06,5.786602210132125e-07,289.9904864892712,182.1370410981162,3.0,0.0011441271015316806,1,30.4255599976,-2.20262122154,46,49,30.35750184117568,-2.18651586223024,6.949093796e-05,6.535839895e-05,1.4944102586,0.3992740180799999,0.93913383036,0.1664351060799999,3.462138971784,0.6644209543919999,2.817221738544,0.461059643664,50.0453107369752,39.25760654292469,1.36859080638,0.2766110136,0.15541749599,-0.0020107852399999,0.0709415180599999,0.0209877325699999,30.35750184117568,-2.18651586223024,6.949093796e-05,6.535839895e-05,S,2373.7135440151505,0.2501673766559799,2988.509341030592,0.2352902362199812,2373.7135440151505,0.2501673766559799,2988.509341030592,0.2352902362199812,3.4620880645439995,0.6644209543919999,2.817212259672,0.461059643664,50.03986272121682,39.25760654292469,2.53097424342,0.6644209543919999,0.873004309956,0.461059643664,69.22828041941308,39.25760654292469,2.530951175916,0.6644209543919999,0.8729964925920001,0.461059643664,69.22283240365469,39.25760654292469,T10t04,J020200-023000,30.50030416667,-2.5,5.216549550715191,0.3930349047568863,1.6694514701751828,0,1,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.35750184117568+-2.18651586223024+0.025,107.24697860032258,2.8528802394865203,2.1484823226930003,1.9800760746,1.0,13.0,251.6011945434308
2,ACT-CLJ0201.6-0211,VLASS1QLCIR J020132.20-021023.6,44.0,30.38418518001113,-2.1732296683315604,241.99610861633812,206.05404690672322,0.0005168629648363117,241.99610862233303,206.05404691262288,2.999999816107151,-3.009438652917979e-06,2.3028621338735595,242.16391146257385,206.51579311551777,2.3230802555915386,0.0003993098594246121,1,30.4255599976,-2.20262122154,44,46,30.38418518001113,-2.1732296683315604,2.804618782e-05,2.652412359e-05,3.7960405393,0.4103545134400001,2.31318254685,0.16777309316,3.3137922282840004,0.2484678652200001,3.0354210326520006,0.212960371068,55.69134378503696,35.32688853921301,4.21621018453,0.34874059448,0.15534964041,-0.0054649958699999,0.2036500664,0.03635290705,30.38418518001113,-2.1732296683315604,2.804618782e-05,2.652412359e-05,S,2277.727396316531,0.1009662761519919,3036.348352867608,0.0954868449239923,2277.727396316531,0.1009662761519919,3036.348352867608,0.0954868449239923,3.31375264542,0.2484678652200001,3.035401700436,0.212960371068,55.686940658824255,35.32688853921301,2.4319293228,0.2484678652200001,1.235123977896,0.212960371068,80.68643840360345,35.32688853921301,2.4319189413,0.2484678652200001,1.23510663072,0.212960371068,80.68203527739074,35.32688853921301,T10t04,J020200-023000,30.50030416667,-2.5,6.694025052715324,0.6260031898075649,5.006142613755233,0,0,J020132.20-021023.6,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.38418518001113+-2.1732296683315604+0.025,107.24697860032234,2.8528802394865203,2.1484823226930003,1.9800760746,1.0,13.0,182.61774306808545
3,ACT-CLJ0201.6-0211,VLASS1QLCIR J020135.97-021227.8,42.0,30.39988444404013,-2.20772662847708,213.75654914754247,143.9601939697824,0.0001389902181407531,213.75654913581974,143.960193973062,2.9999999988352433,-2.8052630122657876e-06,2.9583670614780933,198.86356756244302,141.9154542871828,3.506029007970473,-0.0010310845844421872,1,30.4255599976,-2.20262122154,42,44,30.39988444404013,-2.20772662847708,0.00015508423062,0.00021367384919,6.935464286060001,1.41775388873,0.6378893797399999,0.11982788562,9.516212322804,1.834969890888,7.003057414392001,1.281586478796,167.1018945697329,32.35012538777698,3.97288774958,0.42572152925,0.16027632228,-0.00738423978,0.11558324331,0.0938299490399999,30.39988444404013,-2.20772662847708,0.00015508423062,0.00021367384919,S,2221.2424779447783,0.5583032302319554,2912.1657657957026,0.7692258570839384,2221.2424779447783,0.5583032302319554,2912.1657657957026,0.7692258570839384,9.516112459884,1.834969890888,7.003029049668001,1.281586478796,167.09802633931758,32.35012538777698,9.092381962212,1.834969890888,6.646395293496,1.281586478796,165.79993861424254,32.35012538777698,9.092289270239998,1.834969890888,6.646366382796002,1.281586478796,165.7960703838272,32.35012538777698,T10t04,J020200-023000,30.50030416667,-2.5,107.10039884695504,111.34998265032092,1.2008364549064654,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.399884444040126+-2.20772662847708+0.025,12.788319618279164,2.8528802394865203,2.1484823226930003,1.9800760746,1.0,13.0,94.17445833451734
4,ACT-CLJ0201.6-0211,VLASS1QLCIR J020136.81-021225.7,41.0,30.40339302914546,-2.2071547828250497,207.44579978641275,144.9896308973104,0.0002448577158250977,207.44579979001992,144.9896308994987,3.0000000128647213,-2.8624241694404404e-06,2.9506747338382864,198.82501867447291,141.87865057441846,3.4998861083082065,-0.0010187504424352338,1,30.4255599976,-2.20262122154,41,43,30.40339302914546,-2.2071547828250497,0.00011582343494,0.00017773488508000002,4.020886055379998,0.93676469997,0.7416257986399999,0.1474161966,7.426067204916,1.600352098524,4.4750684274840005,0.820471987368,23.11657332738815,23.331280318548828,2.88266422073,0.37533776195,0.16046201927,-0.00705721686,0.12517577852,-0.13114875765,30.40339302914546,-2.2071547828250497,0.00011582343494,0.00017773488508000002,S,2208.6210999369723,0.4169643657839667,2914.225331356628,0.6398455862879489,2208.6210999369723,0.4169643657839667,2914.225331356628,0.6398455862879489,7.425960360732,1.600352098524,4.475067970644,0.820471987368,23.11284121462279,23.331280318548828,6.892630273656,1.600352098524,3.86124717078,0.820471987368,25.20072881241233,23.331280318548828,6.892531841736,1.600352098524,3.861246363516,0.820471987368,25.19699669964697,23.331280318548828,T10t04,J020200-023000,30.50030416667,-2.5,94.7213341994191,101.7998458462358,1.0297119978452682,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.40339302914546+-2.2071547828250497+0.025,9.497616867884028,2.8528802394865203,2.1484823226930003,1.9800760746,1.0,13.0,81.3950643536249
5,ACT-CLJ0201.6-0211,VLASS1QLCIR J020137.43-021223.6,40.0,30.40596997380256,-2.20658081033034,202.81075556547972,146.02285617456212,0.00021139320322029672,202.81075556480786,146.02285613883618,2.9999999675433364,-2.8421629819251382e-06,2.955611061109182,198.82660994722036,141.895216606838,3.498134175759567,-0.001023536205900957,1,30.4255599976,-2.20262122154,40,42,30.40596997380256,-2.20658081033034,0.00024098183702000005,0.00012742842520999998,12.75220484665,1.87452247966,0.6939977357599999,0.09686919335,14.211309807180006,2.0473615989360003,7.925282067384,1.071789607008,85.56940599729789,15.907945726812091,6.794694542329999,0.50746365609,0.16099863569,-0.0073091901,0.09083194891,0.0427522973,30.40596997380256,-2.20658081033034,0.00024098183702000005,0.00012742842520999998,S,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,14.211280341936002,2.0473615989360003,7.925183849087999,1.071789607008,85.56577407044671,15.907945726812091,14.046438119472,2.0473615989360003,7.396882355772001,1.071789607008,85.72656414029333,15.907945726812091,14.04640938564,2.0473615989360003,7.396790480856001,1.071789607008,85.72293221344215,15.907945726812091,T10t04,J020200-023000,30.50030416667,-2.5,85.4607448926181,92.43683292159297,0.9711453319885148,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.405969973802556+-2.20658081033034+0.025,9.497616867884211,2.8528802394865203,2.1484823226930003,1.9800760746,1.0,13.0,71.89908226135722
6,ACT-CLJ0201.6-0211,VLASS1QLCIR J020138.52-021217.9,-5.0,30.410515425048427,-2.20499563002625,194.63504384050333,148.87629302355276,-0.00010506788781366564,194.63504382469287,148.87629303296958,3.0000000025693647,-2.666296675506998e-06,-3.5413122993545505,191.26500770477563,150.04563372142198,2.02304734774339,0.0020125878066118764,1,30.4255599976,-2.20262122154,-5,40,30.410515425048427,-2.20499563002625,0.0,0.0,0.0,0.0,0.93676650431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78922392232,0.4763458750699999,0.1620647526599999,-0.00882288259,0.0,0.0,30.410515425048427,-2.20499563002625,0.0,0.0,E,2183.000000000054,0.0,2922.000000000078,0.0,2183.000000000054,0.0,2922.000000000078,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T10t04,J020200-023000,30.50030416667,-2.5,68.29659779370955,75.15711750290198,1.4544074479711395,0,4,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.410515425048427+-2.20499563002625+0.025,-99.0,2.8528802394865203,2.1484823226930003,1.9800760746,1.0,13.0,54.79127678763065
7,ACT-CLJ0201.6-0211,VLASS1QLCIR J020141.73-021426.6,38.0,30.42389856613284,-2.2407404962245496,170.56302099959362,84.53570583004009,0.00037004306784637784,170.5630210009774,84.53570584005875,3.0000000024804137,-2.930369117141875e-06,2.1853936753232794,170.74743393441327,96.67822794198244,9.087174503006073,-0.009658305309659176,1,30.4255599976,-2.20262122154,38,39,30.42389856613284,-2.2407404962245496,9.099744834e-05,8.057748823e-05,1.98277693055,0.51985731864,0.8543891027000001,0.1641099909399999,3.9541968871200006,0.7814704569840001,3.5973278845200007,0.6715593368639999,71.78453494422283,87.76318574241812,1.0553750701900002,0.23703438705,0.15150559193,-0.00177018831,0.01133520527,-0.0016588573999999,30.42389856613284,-2.2407404962245496,9.099744834e-05,8.057748823e-05,S,2134.8497606504206,0.3275908140239738,2793.3230348957154,0.2900789576279768,2134.8497606504206,0.3275908140239738,2793.3230348957154,0.2900789576279768,3.954182682564,0.7814704569840001,3.597300786168,0.6715593368639999,71.78154776682732,87.76318574241812,3.291188981292,0.7814704569840001,2.233704958128,0.6715593368639999,83.28609061967954,87.76318574241812,3.2911833332160003,0.7814704569840001,2.233683941076,0.6715593368639999,83.28310344228403,87.76318574241812,T10t04,J020200-023000,30.50030416667,-2.5,161.0162234616997,1.0967792037514923,2.156388222309937,0,0,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.42389856613284+-2.2407404962245496+0.025,138.860854678263,2.8528802394865203,2.1484823226930003,1.9800760746,1.0,13.0,137.35947582887758
8,ACT-CLJ0201.6-0211,VLASS1QLCIR J020143.11-021147.8,37.0,30.42965921202191,-2.19662406063209,160.20173116548926,163.94531584998794,0.0007773728510921097,160.20173119929945,163.9453158620897,2.999999884201195,-3.147160822818882e-06,6.486509649109959,159.69540900806453,162.98096875922175,3.6124920230510735,-0.003920412897370411,1,30.4255599976,-2.20262122154,37,38,30.42965921202191,-2.19662406063209,4.11030952e-06,6.87797039e-06,9.647974896749998,0.2965516051200001,9.298304313209998,0.1650760682299999,2.8919114865360003,0.058725870876,2.199222429372,0.034133860368,8.42786176937761,2.9852611008181205,9.762391059209998,0.35612598677,0.16590919404,-0.0136354437899999,0.16237908858,0.01548055843,30.42965921202191,-2.19662406063209,4.11030952e-06,6.87797039e-06,S,2114.134890687813,0.0147971142719988,2952.1414444916054,0.024760693403998,2114.134890687813,0.0147971142719988,2952.1414444916054,0.024760693403998,2.8918690368480005,0.058725870876,2.1992222135880004,0.034133860368,8.42515415691433,2.9852611008181205,0.7860979837800001,0.058725870876,0.0,0.034133860368,50.083769461258754,2.9852611008181205,0.7860905712359999,0.058725870876,0.0,0.034133860368,50.08106184879548,2.9852611008181205,T10t04,J020200-023000,30.50030416667,-2.5,8.635551795730642,0.1725003700742147,23.95735732156301,0,0,J020143.11-021147.8,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.42965921202191+-2.19662406063209+0.025,53.403756129068434,2.8528802394865203,2.1484823226930003,1.9800760746,1.0,13.0,26.145207679109333
9,ACT-CLJ0201.6-0211,VLASS1QLCIR J020146.62-021157.5,33.0,30.44425745782034,-2.19931913307035,133.9442481527345,159.09403962493963,0.0010010585746033562,133.94424778842563,159.09403962487485,2.9999999858344424,-3.2695838409785833e-06,9.411512152140972,131.7248192934836,160.03955812831495,3.246071730746796,-0.004790581487866038,1,30.4255599976,-2.20262122154,33,36,30.44425745782034,-2.19931913307035,3.246381148e-05,5.579329175e-05,41.80208298728,1.90128227179,6.860198013020001,0.16154660261,8.988681805452,0.492237053388,5.037730087356,0.239063091516,71.52947801078071,5.60609821292897,60.80498026759,1.2090126604,0.16154660261,-0.00734655305,0.1481610816,0.0097280471899999,30.44384391976271,-2.19978989311548,3.246381148e-05,5.579329175e-05,M,2061.6194917387365,0.1168697213279906,2942.441851077845,0.200855850299984,2063.107067289086,0.1168697213279906,2940.747074507304,0.200855850299984,8.9886516579,0.492237053388,5.037675206652,0.239063091516,71.52732727161336,5.60609821292897,8.704773609587999,0.492237053388,4.20082251336,0.239063091516,72.6667372843637,5.60609821292897,8.704746476568001,0.492237053388,4.200775754687999,0.239063091516,72.66458654519639,5.60609821292897,T10t04,J020200-023000,30.50030416667,-2.5,6.452119511616268,1.2900755494955922,2.504916841024904,0,0,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.44425745782034+-2.19931913307035+0.025,18.876213945654943,2.8528802394865203,2.1484823226930003,1.9800760746,1.0,13.0,68.3036018537375
