cluster,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,int_flux_Jy,int_flux_err_Jy,amp_snr,x_snr,y_snr,sigma_snr,snr,masked,noise_ps,hits_ps,Unnamed: 0,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
ACT-CLJ0200.3+0019_298_01_s008,163.0,163.0,3.2,2.0,10.0,30.090129326233832,0.3242632255267501,1.3712601992228881e-05,0.01716959380015089,162.9999603626513,162.99996304042125,2.99989330225367,0.027738532587224432,0.26256218011413174,93.7650824340783,162.51018340430645,162.5587890968785,2.738188145547276,89.25102996826172,0.0,0.00016873845015652478,1960165.5,,,,,,,,,,
ACT-CLJ0200.3+0019_298_01_s010,173.0,173.0,3.2,2.0,10.0,30.084449700691035,0.3297475517832554,0.00015083862077901942,0.006124771094732083,172.9999977701747,172.99999724087664,2.999978282348241,0.009895504228278089,0.09559138545124651,29.862023901836913,173.08322282563577,172.9647104698901,2.7776014553060273,29.35462760925293,0.0,0.00017727111116982996,1700110.875,,,,,,,,,,
ACT-CLJ0200.3+0019_298_01_s010,81.0,227.0,3.2,2.0,10.0,30.135561783032248,0.359747438670555,0.001007012668601552,0.002681355186180146,80.99999976322049,226.99999994107532,2.9999995608431465,0.004332200758094489,0.04186866455637534,5.328990947760112,80.81349731966014,227.28704334858773,2.76798641606777,5.245914459228516,0.0,0.0004209751496091485,301960.25,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s009,163.0,208.0,5.120000000000001,2.0,10.0,30.42712692133379,-2.172897871778118,0.0004461339496542913,0.004688903461642349,162.99999884182986,207.9999988623562,2.9999963492920503,0.0075757317585025,0.0773868472305815,10.821264710214582,162.82138466122893,208.03665406707418,3.257270041493547,11.834802627563477,0.0,0.0003267176798544824,568325.6875,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s009,173.0,168.0,8.192000000000002,2.0,10.0,30.421567277639664,-2.1951200804576145,0.00012149396259929796,0.0018451794668696917,172.99999998864928,168.00000000681666,2.9999998542018123,0.0029812124442664526,0.030466669564960445,2.5307871751665942,172.98017102497968,169.1737511135612,7.3382943532749225,3.4907686710357666,0.0,0.00032222806476056576,553585.25,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s009,209.0,131.0,5.120000000000001,2.0,10.0,30.40155223196063,-2.2156754182844014,0.0005459268581526462,0.001985129686684389,208.99999998675068,130.99999878798076,2.9999873096180645,0.003207299852638333,0.032801611926923574,3.835676051193071,209.39703218999512,130.5130311206225,3.1488334003960503,3.6747007369995117,0.0,0.000425124482717365,315820.96875,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s009,90.0,198.0,3.2,2.0,10.0,30.467711798253138,-2.1784528955564184,0.0007805348305060672,0.0024900628961192404,90.00000004938448,197.99999867277384,2.9999846746997814,0.004023094503261236,0.041138000053178345,4.56793245791953,90.51123364012145,197.88374270760826,2.519674645176483,4.291512966156006,0.0,0.0005109680350869894,224525.609375,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s009,224.0,188.0,8.192000000000002,2.0,10.0,30.39321339764468,-2.184008587025747,0.0006518895645222179,0.0007553958730527961,223.9999992678687,188.00000045806584,2.9999876775235945,0.0012204651831142302,0.01248485725206823,1.5936945092155181,222.80573866223372,186.78635240841857,8.063576960632561,0.3813513517379761,0.0,0.0004747210768982768,254291.359375,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s011,161.0,66.0,5.120000000000001,2.0,10.0,30.427510254899563,-2.2540035614248817,0.0009308925214344893,0.003565336039317442,160.99999929717472,65.99999998790953,3.000001285858732,0.005760433878653372,0.06099695215656085,5.169801052707507,159.92722400343348,66.71682758457406,3.0600353983095645,4.153404712677002,0.0,0.0006341327098198235,219894.8125,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s011,168.0,161.0,8.192000000000002,2.0,10.0,30.423618474489828,-2.2012257941519664,5.8980131232088104e-05,0.0008966483348418733,167.99999998989384,161.0000000082605,2.9999994536093353,0.0014486929364187946,0.01534175541069423,2.431028923067581,166.9998008636805,158.56838806209322,8.825264382314126,1.511218786239624,0.0,0.00022824850748293102,1482159.125,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s011,161.0,229.0,8.192000000000002,2.0,10.0,30.42751022113267,-2.163448024321196,0.0006497226132165437,0.0014044149883792475,160.99999978397906,229.00000034980738,2.9999931731543916,0.0022690696851233524,0.024044665877688,3.6574582887365668,163.09212937709617,228.02246873679033,4.470737980404763,2.1101880073547363,0.0,0.00031324313022196293,774058.75,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s011,141.0,80.0,5.120000000000001,2.0,10.0,30.438629903821504,-2.2462257427788073,0.000820753744645273,0.0012349769224296021,140.9999999792997,80.00000015643164,2.9999990680053052,0.0019953217049759673,0.021132237159121627,2.5319791432129555,142.45227150204627,78.8154257688809,3.238882356252412,2.1211462020874023,0.0,0.0004250221827533096,497032.9375,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s011,236.0,109.0,5.120000000000001,2.0,10.0,30.385812008711213,-2.2301141105083295,0.0008825737710204815,0.00324707329378258,235.99999956089547,108.99999968866456,2.999990198421333,0.0052461850846591595,0.055576903003787155,3.9735675208459122,235.7624794243338,108.11545274167491,4.683879205037109,4.803192138671875,0.0,0.0004884335212409496,346627.625,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s011,208.0,229.0,8.192000000000002,2.0,10.0,30.40138049139459,-2.163447809120934,0.000788027174552641,0.0015488094064987845,208.00000006557647,229.00000000202556,2.999999466056189,0.002502373760687217,0.026501187987472412,2.758190483455111,206.9826359708072,229.14287228944943,5.5457672182671365,2.1315114498138428,0.0,0.00039724906673654914,499845.53125,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s011,129.0,166.0,5.120000000000001,2.0,10.0,30.445301106618874,-2.19844790743543,0.0003223190667936565,0.0014664158320720217,129.00000002622522,165.99999997422952,2.9999996674544747,0.002369252780701275,0.025088190106946438,2.627986657956025,125.82850735734226,165.55360216064489,6.100381867626472,4.217418670654297,0.0,0.00023902648536022753,1509475.5,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s011,165.0,291.0,8.192000000000002,2.0,10.0,30.425286452730717,-2.12900361038212,0.0012511568710896139,0.0041480308126889045,165.00000048254836,290.9999986196379,3.0000028024528165,0.0067018875972421395,0.07094915494287057,1.7601831145286464,162.01259877684745,293.2371172846512,10.100241803278596,2.575437068939209,0.0,0.001040132250636816,91476.75,,,,,,,,,,
ACT-CLJ0201.6-0211_298_01_s011,128.0,60.0,5.120000000000001,2.0,10.0,30.44585781796291,-2.257336769140327,0.0010425181692782148,0.0023083328724665857,127.99999992085881,60.00000006297922,2.9999847195322085,0.003729480722335954,0.039567103041293954,1.9225612831813232,126.79787892925648,59.4653505085212,3.4003537950432463,1.1773985624313354,0.0,0.0009060633601620793,126307.421875,,,,,,,,,,
