,cluster,Component_name,Component_id_x,ra_vlass,dec_vlass,pix_x,pix_y,amp_map,x_map,y_map,sigma_map,amp_snr,x_snr,y_snr,sigma_snr,col1,ra_1,dec_1,Component_id_y,Isl_id,RA_2,DEC_2,E_RA,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,Maj,E_Maj,Min,E_Min,PA,E_PA,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,RA_max,DEC_max,E_RA_max,E_DEC_max,S_Code,Xposn,E_Xposn,Yposn,E_Yposn,Xposn_max,E_Xposn_max,Yposn_max,E_Yposn_max,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Tile,Subtile,QL_image_RA,QL_image_DEC,NVSS_distance,FIRST_distance,Peak_to_ring,Duplicate_flag,Quality_flag,Source_name,Source_type,QL_cutout,NN_dist,BMAJ,BMIN,BPA,GroupID,GroupSize,Separation
480,ACT-CLJ0856.3+0146,VLASS1QLCIR J085610.92+014408.2,76.0,134.04551104032828,1.7356257008225602,238.33065061177984,79.72775654569341,-0.004552697719191201,238.3306484681081,79.72775859012108,2.999999474006472,-3.196694553527448,234.94241156234747,81.06965808024685,0.223841740338562,126,134.087936401,1.78133296967,76,86,134.04551104032828,1.7356257008225602,5.556796749e-05,7.493888831999999e-05,8.388479780510002,0.8637891976799998,1.47084131438,0.13017561728,7.2715052760119985,0.6871309644960001,4.7241160960320006,0.391591284084,27.61424603229353,11.608312249926689,3.52873132024,0.32285025016,0.1425628142899999,-0.0009598441,0.2400057856,-0.23690932721,134.04551104032828,1.7356257008225602,5.556796749e-05,7.493888831999999e-05,S,3497.866254735389,0.2000446829639839,2708.420436798609,0.2697799979519784,3497.866254735389,0.2000446829639839,2708.420436798609,0.2697799979519784,7.271310107160001,0.6871309644960001,4.724053984728,0.391591284084,27.628033373434896,11.608312249926689,6.875332332552,0.6871309644960001,3.923978505192,0.391591284084,30.520679298205945,11.608312249926689,6.875134958987999,0.6871309644960001,3.923934241356,0.391591284084,30.53446663934731,11.608312249926689,T11t14,J085800+013000,134.5006875,1.5,5.4562639884578585,1.2015784576880646,3.536257727479798,0,0,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085800%2B013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djzruzlmlo64ml7ze&CIRCLE=134.04551104032828+1.7356257008225602+0.025,182.0390067933872,2.8240756988526,2.13271951675428,-27.18542480469,93.0,14.0,224.45561639407495
481,ACT-CLJ0856.3+0146,VLASS1QLCIR J085617.75+014638.7,70.0,134.07396534240934,1.77743566766406,187.13580557343025,154.98495160248368,-0.00024151413526851684,187.13580557343025,154.98495160248368,3.0,1.5216089487075806,187.13580557343025,154.98495160248368,3.0,126,134.087936401,1.78133296967,70,81,134.07396534240934,1.77743566766406,5.551818881e-05,8.502882058999999e-05,2.6753542597,0.52276339234,1.02795102279,0.1506257557899999,4.568037671340001,0.7249375356119999,3.4316769815640003,0.4642897793399999,172.03189463694468,25.15019616687747,2.47320790943,0.28174172054,0.14164733875,0.00288179513,0.07657870447,0.00486517183,134.07396534240934,1.77743566766406,5.551818881e-05,8.502882058999999e-05,S,3395.446434703267,0.199865479715984,2858.914175299003,0.3061037541239754,3395.446434703267,0.199865479715984,2858.914175299003,0.3061037541239754,4.56800527422,0.7249375356119999,3.43156599072,0.4642897793399999,172.0451313990875,25.15019616687747,3.665512286172,0.7249375356119999,2.5851764131920003,0.4642897793399999,1.23165167347158,25.15019616687747,3.665466401076,0.7249375356119999,2.58510682692,0.4642897793399999,1.24488843561436,25.15019616687747,T11t14,J085800+013000,134.5006875,1.5,4.875363283570092,1.8672112245508752,2.508307653665507,0,0,J085617.75+014638.7,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085800%2B013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djzruzlmlo64ml7ze&CIRCLE=134.07396534240934+1.77743566766406+0.025,166.86582215092722,2.8240756988526,2.13271951675428,-27.18542480469,93.0,14.0,52.19270561127033
482,ACT-CLJ0856.3+0146,VLASS1QLCIR J085627.80+014527.1,61.0,134.1158487785629,1.75753795287601,111.78134905814454,119.1693435113158,0.00010346993803977966,111.78134905814454,119.1693435113158,3.0,-1.1977516859769821,111.850314575129,119.11555447682998,2.969972535967827,126,134.087936401,1.78133296967,61,73,134.1158487785629,1.75753795287601,2.13795962e-05,3.2985399620000004e-05,1.89331776173,0.2689392900199999,1.75398425656,0.14475364828,3.0462763698360003,0.2983484015639999,2.134286756064,0.148424642172,156.29193690283483,11.05554447179354,1.83651479434,0.25533901927,0.14556155656,0.00016751768,0.02792104351,-0.00024439819,134.1158487785629,1.75753795287601,2.13795962e-05,3.2985399620000004e-05,S,3244.757234606109,0.0769665463199938,2787.255244771656,0.1187474386319905,3244.757234606109,0.0769665463199938,2787.255244771656,0.1187474386319905,3.046273305372,0.2983484015639999,2.134219238568,0.148424642172,156.3037408743073,11.05554447179354,1.161488019744,0.2983484015639999,0.0,0.148424642172,165.02409123615956,11.05554447179354,1.161484064964,0.2983484015639999,0.0,0.148424642172,165.03589520763202,11.05554447179354,T11t14,J085800+013000,134.5006875,1.5,164.50576443756427,0.4907588710102655,3.1507976203364776,0,0,J085627.80+014527.1,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085800%2B013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djzruzlmlo64ml7ze&CIRCLE=134.11584877856293+1.75753795287601+0.025,166.86582215092713,2.8240756988526,2.13271951675428,-27.18542480469,93.0,14.0,132.0057128935741
483,ACT-CLJ0856.5+0143,VLASS1QLCIR J085610.92+014408.2,76.0,134.04551104032828,1.7356257008225602,314.0741567801591,183.52064419769613,0.0,314.0741567801591,183.52064419769613,3.0,0.0,314.0741567801591,183.52064419769613,3.0,128,134.1300354,1.72367167473,76,86,134.04551104032828,1.7356257008225602,5.556796749e-05,7.493888831999999e-05,8.388479780510002,0.8637891976799998,1.47084131438,0.13017561728,7.2715052760119985,0.6871309644960001,4.7241160960320006,0.391591284084,27.61424603229353,11.608312249926689,3.52873132024,0.32285025016,0.1425628142899999,-0.0009598441,0.2400057856,-0.23690932721,134.04551104032828,1.7356257008225602,5.556796749e-05,7.493888831999999e-05,S,3497.866254735389,0.2000446829639839,2708.420436798609,0.2697799979519784,3497.866254735389,0.2000446829639839,2708.420436798609,0.2697799979519784,7.271310107160001,0.6871309644960001,4.724053984728,0.391591284084,27.628033373434896,11.608312249926689,6.875332332552,0.6871309644960001,3.923978505192,0.391591284084,30.520679298205945,11.608312249926689,6.875134958987999,0.6871309644960001,3.923934241356,0.391591284084,30.53446663934731,11.608312249926689,T11t14,J085800+013000,134.5006875,1.5,5.4562639884578585,1.2015784576880646,3.536257727479798,0,0,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085800%2B013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djzruzlmlo64ml7ze&CIRCLE=134.04551104032828+1.7356257008225602+0.025,182.0390067933872,2.8240756988526,2.13271951675428,-27.18542480469,93.0,14.0,307.1784728828208
484,ACT-CLJ0856.5+0143,VLASS1QLCIR J085617.75+014638.7,70.0,134.07396534240934,1.77743566766406,262.8776175083299,258.77674434139345,0.0,262.8776175083299,258.77674434139345,3.0,0.0,262.8776175083299,258.77674434139345,3.0,128,134.1300354,1.72367167473,70,81,134.07396534240934,1.77743566766406,5.551818881e-05,8.502882058999999e-05,2.6753542597,0.52276339234,1.02795102279,0.1506257557899999,4.568037671340001,0.7249375356119999,3.4316769815640003,0.4642897793399999,172.03189463694468,25.15019616687747,2.47320790943,0.28174172054,0.14164733875,0.00288179513,0.07657870447,0.00486517183,134.07396534240934,1.77743566766406,5.551818881e-05,8.502882058999999e-05,S,3395.446434703267,0.199865479715984,2858.914175299003,0.3061037541239754,3395.446434703267,0.199865479715984,2858.914175299003,0.3061037541239754,4.56800527422,0.7249375356119999,3.43156599072,0.4642897793399999,172.0451313990875,25.15019616687747,3.665512286172,0.7249375356119999,2.5851764131920003,0.4642897793399999,1.23165167347158,25.15019616687747,3.665466401076,0.7249375356119999,2.58510682692,0.4642897793399999,1.24488843561436,25.15019616687747,T11t14,J085800+013000,134.5006875,1.5,4.875363283570092,1.8672112245508752,2.508307653665507,0,0,J085617.75+014638.7,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085800%2B013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djzruzlmlo64ml7ze&CIRCLE=134.07396534240934+1.77743566766406+0.025,166.86582215092722,2.8240756988526,2.13271951675428,-27.18542480469,93.0,14.0,279.5854715078161
485,ACT-CLJ0856.5+0143,VLASS1QLCIR J085619.96+013811.9,66.0,134.08317640022372,1.6366412127984802,246.31190493942063,5.346036529795583,0.0,246.31190493942063,5.346036529795583,3.0,0.0,246.31190493942063,5.346036529795583,3.0,128,134.1300354,1.72367167473,66,77,134.08317640022372,1.6366412127984802,6.238993024000001e-05,8.790894605999999e-05,1.19859888388,0.3720488151,0.7854407636799999,0.15950598344,3.434171089464,0.769862198484,2.676463579656,0.4923765427679999,160.94328208612768,37.95443140456829,1.01383917005,0.21487343162,0.15002299915,-0.0057911033799999,0.07157766959,0.0033824592299999,134.08317640022372,1.6366412127984802,6.238993024000001e-05,8.790894605999999e-05,S,3362.413504438912,0.224603748863982,2352.0511930666034,0.3164722058159746,3362.413504438912,0.224603748863982,2352.0511930666034,0.3164722058159746,3.434171063904,0.769862198484,2.67638498244,0.4923765427679999,160.9552075186255,37.95443140456829,2.0102688008280003,0.769862198484,1.5464926181519998,0.4923765427679999,178.7527918431474,37.95443140456829,2.0102638113,0.769862198484,1.546451030448,0.4923765427679999,178.76471727564518,37.95443140456829,T11t14,J085800+013000,134.5006875,1.5,5.721167561639361,88.93353212513081,1.733212505948692,0,1,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085800%2B013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djzruzlmlo64ml7ze&CIRCLE=134.08317640022372+1.6366412127984802+0.025,84.35843383766941,2.8240756988526,2.13271951675428,-27.18542480469,93.0,14.0,355.8027562342443
486,ACT-CLJ0856.5+0143,VLASS1QLCIR J085627.80+014527.1,61.0,134.1158487785629,1.75753795287601,187.52390994503364,222.95940320014603,-0.0005439488450065255,187.52390994503364,222.95940320014603,3.0,1.079272747039795,187.52390994503364,222.95940320014603,3.0,128,134.1300354,1.72367167473,61,73,134.1158487785629,1.75753795287601,2.13795962e-05,3.2985399620000004e-05,1.89331776173,0.2689392900199999,1.75398425656,0.14475364828,3.0462763698360003,0.2983484015639999,2.134286756064,0.148424642172,156.29193690283483,11.05554447179354,1.83651479434,0.25533901927,0.14556155656,0.00016751768,0.02792104351,-0.00024439819,134.1158487785629,1.75753795287601,2.13795962e-05,3.2985399620000004e-05,S,3244.757234606109,0.0769665463199938,2787.255244771656,0.1187474386319905,3244.757234606109,0.0769665463199938,2787.255244771656,0.1187474386319905,3.046273305372,0.2983484015639999,2.134219238568,0.148424642172,156.3037408743073,11.05554447179354,1.161488019744,0.2983484015639999,0.0,0.148424642172,165.02409123615956,11.05554447179354,1.161484064964,0.2983484015639999,0.0,0.148424642172,165.03589520763202,11.05554447179354,T11t14,J085800+013000,134.5006875,1.5,164.50576443756427,0.4907588710102655,3.1507976203364776,0,0,J085627.80+014527.1,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085800%2B013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djzruzlmlo64ml7ze&CIRCLE=134.11584877856293+1.75753795287601+0.025,166.86582215092713,2.8240756988526,2.13271951675428,-27.18542480469,93.0,14.0,132.17439741956812
487,ACT-CLJ0856.5+0143,VLASS1QLCIR J085638.49+014001.1,59.0,134.16038329084526,1.66697916313685,107.39688424854249,59.953868968635916,0.02527947199707139,107.39641522357664,59.953898390120735,2.9999352500777663,5.782450599482087,108.52214655910267,59.93817324346731,0.3565736504270558,128,134.1300354,1.72367167473,59,71,134.16038329084526,1.66697916313685,3.9424227400000005e-06,5.213008139999999e-06,9.66899600606,0.25383111915,9.540380561030002,0.14404194817,2.7661098719160004,0.046722324528,2.2068145116,0.029782242288,155.0757245653295,2.9981423398879703,9.78539534041,0.38837879274,0.1449427945799999,-3.993685e-05,0.20868510182,0.04426166561,134.16038329084526,1.66697916313685,3.9424227400000005e-06,5.213008139999999e-06,S,3084.569482348956,0.0141927218639988,2461.219332302853,0.0187668293039984,3084.569482348956,0.0141927218639988,2461.219332302853,0.0187668293039984,2.7661098438,0.046722324528,2.2067662676400004,0.029782242288,155.08562488439247,2.9981423398879703,0.0,0.046722324528,0.0,0.029782242288,0.0,2.9981423398879703,0.0,0.046722324528,0.0,0.029782242288,0.0,2.9981423398879703,T11t14,J085800+013000,134.5006875,1.5,1.4641381854149862,0.7697035198371656,20.0938621627814,0,0,J085638.49+014001.1,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085800%2B013000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djzruzlmlo64ml7ze&CIRCLE=134.16038329084526+1.66697916313685+0.025,253.6513835223021,2.8240756988526,2.13271951675428,-27.18542480469,93.0,14.0,231.47269826859448
488,ACT-CLJ0857.8+0310,VLASS1QLCIR J085729.56+031239.9,-52.0,134.37318830466089,3.2111004798217704,328.2566135009778,225.14568928073987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,134.465698242,3.17602372169,-52,108,134.37318830466089,3.2111004798217704,0.0,0.0,0.0,0.0,0.8896266808700001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71836560315,0.3733976714299999,0.1727298222199999,-0.00235889661,0.0,0.0,134.37318830466089,3.2111004798217704,0.0,0.0,E,2337.999999999993,0.0,819.9999999999337,0.0,2337.999999999993,0.0,819.9999999999337,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T11t14,J085801+033000,134.506175,3.5,91.43032258120792,91.41402915907489,1.4328956019636832,0,4,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085801%2B033000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dbbqv1q1opxlaxu08&CIRCLE=134.37318830466089+3.2111004798217704+0.025,-99.0,2.98414182662964,2.08841919899004,-37.501476287840006,94.0,21.0,355.68850663302885
489,ACT-CLJ0857.8+0310,VLASS1QLCIR J085729.70+031006.9,-51.0,134.37375020988122,3.1685999351144805,327.25357118994054,148.6445137406124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,134.465698242,3.17602372169,-51,107,134.37375020988122,3.1685999351144805,0.0,0.0,0.0,0.0,0.83431712119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1562150727899998,0.49963785718,0.15033521049,-0.00010867105,0.0,0.0,134.37375020988122,3.1685999351144805,0.0,0.0,E,2335.999999999833,0.0,667.0000000000275,0.0,2335.999999999833,0.0,667.0000000000275,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T11t14,J085801+033000,134.506175,3.5,112.64240757037275,117.42232615788568,1.1768398792835604,0,4,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T11t14.J085801%2B033000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dbbqv1q1opxlaxu08&CIRCLE=134.37375020988122+3.1685999351144805+0.025,-99.0,2.98414182662964,2.08841919899004,-37.501476287840006,94.0,21.0,331.5844735770141
