cluster,project,scanno,x,y,sigma_dog,theta_1,theta_2,ra_deg,dec_deg,dist_center_radians,amp_fit,x_center_fit,y_center_fit,sigma,offset,int_flux_Jy,int_flux_err_Jy,peak_snr,peak_flux_mJy_adj,snr,masked,noise_ps,hits_ps,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,offset_fit_snr,red_type,RA,DEC,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
ACT-CLJ0200.3+0019,all,0,259.0,169.0,3.2,2.0,4.0,30.038311472780695,0.3285391803005497,9.429841632172256E-4,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539E-6,0.002355539104286993,2.3469034500204517E-5,4.297876834869385,1.4313302052882988,4.297876834869385,0.0,3.3857906237244606E-4,544729.0,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,6.496966175072794
ACT-CLJ0200.3+0019,all,0,259.0,169.0,3.2,2.0,5.0,30.038311472780695,0.3285391803005497,9.429841632172256E-4,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539E-6,0.002355539104286993,2.3469034500204517E-5,4.297876834869385,1.4313302052882988,4.297876834869385,0.0,3.3857906237244606E-4,544729.0,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,6.496966175072794
ACT-CLJ0200.3+0019,all,0,259.0,170.0,5.120000000000001,2.0,6.0,30.038311469819895,0.32909473562088193,9.437316336256581E-4,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401E-6,0.0033856841604972235,2.358689299924133E-5,4.297876834869385,1.0692032467524644,4.156156539916992,0.0,3.3934443490579724E-4,522651.1875,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,8.242253147924231
ACT-CLJ0200.3+0019,all,0,259.0,170.0,5.120000000000001,2.0,7.0,30.038311469819895,0.32909473562088193,9.437316336256581E-4,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401E-6,0.0033856841604972235,2.358689299924133E-5,4.297876834869385,1.0692032467524644,4.156156539916992,0.0,3.3934443490579724E-4,522651.1875,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,8.242253147924231
ACT-CLJ0200.3+0019,all,0,259.0,169.0,3.0,3.0,4.0,30.038311472780695,0.3285391803005497,9.429841632172256E-4,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539E-6,0.002355539104286993,2.3469034500204517E-5,4.297876834869385,1.4313302052882988,4.297876834869385,0.0,3.3857906237244606E-4,544729.0,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,6.496966175072794
ACT-CLJ0200.3+0019,all,0,259.0,170.0,4.800000000000001,3.0,5.0,30.038311469819895,0.32909473562088193,9.437316336256581E-4,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401E-6,0.0033856841604972235,2.358689299924133E-5,4.297876834869385,1.0692032467524644,4.156156539916992,0.0,3.3934443490579724E-4,522651.1875,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,8.242253147924231
ACT-CLJ0200.3+0019,all,0,259.0,170.0,4.800000000000001,3.0,6.0,30.038311469819895,0.32909473562088193,9.437316336256581E-4,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401E-6,0.0033856841604972235,2.358689299924133E-5,4.297876834869385,1.0692032467524644,4.156156539916992,0.0,3.3934443490579724E-4,522651.1875,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,8.242253147924231
ACT-CLJ0200.3+0019,all,0,259.0,170.0,4.800000000000001,3.0,7.0,30.038311469819895,0.32909473562088193,9.437316336256581E-4,0.0017942062193766646,258.0,169.0,3.000001777109001,5.065055967374401E-6,0.0033856841604972235,2.358689299924133E-5,4.297876834869385,1.0692032467524644,4.156156539916992,0.0,3.3934443490579724E-4,522651.1875,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,8.242253147924231
ACT-CLJ0200.3+0019,all,0,259.0,169.0,4.0,4.0,5.0,30.038311472780695,0.3285391803005497,9.429841632172256E-4,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539E-6,0.002355539104286993,2.3469034500204517E-5,4.297876834869385,1.4313302052882988,4.297876834869385,0.0,3.3857906237244606E-4,544729.0,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,6.496966175072794
ACT-CLJ0200.3+0019,all,0,259.0,169.0,4.0,4.0,6.0,30.038311472780695,0.3285391803005497,9.429841632172256E-4,0.0020086800510192462,258.0,168.0,3.0000001645767305,-9.258123857241539E-6,0.002355539104286993,2.3469034500204517E-5,4.297876834869385,1.4313302052882988,4.297876834869385,0.0,3.3857906237244606E-4,544729.0,ACT-CLJ0200.3+0019,1.464204311494E-4,0.8980397829798825,-0.0118252977062459,0.0,13862.332919408682,9.95357503376E-4,-0.0742896884488613,418.30867734818673,21.0,30.037320988451004,0.32703055135769477,0.014053002,3.83,3.3806705,0.099766344,0.0,0.0,57.9,6.03,5.06,9.4,02015+00130Z,2,0.12639834,20.083445,s,0,99.0,99.0,1999.1991,2451252.1877173153,1235.6940767414335,2450015.810115741,2452490.002430556,1,14,6.496966175072794
