,cluster,ra,dec
85,ACT-CLJ0245.2+0032,41.3072662354,0.54666531086
86,ACT-CLJ0245.2-0240,41.3034858704,-2.6798722744
87,ACT-CLJ0245.2+0407,41.309879303,4.12060451508
88,ACT-CLJ0245.7-0028,41.4322128296,-0.477719008923
89,ACT-CLJ0245.8-0042,41.4650611877,-0.71034681797
90,ACT-CLJ0246.4+0429,41.6248207092,4.4920797348
91,ACT-CLJ0247.3-0156,41.8506584167,-1.93995726109
92,ACT-CLJ0248.0-0331,42.0191345215,-3.53436613083
93,ACT-CLJ0248.2-0216,42.0594558716,-2.27039361
94,ACT-CLJ0248.2+0238,42.0587043762,2.63399219513
95,ACT-CLJ0248.3+0122,42.100982666,1.37061786652
96,ACT-CLJ0248.3-0337,42.0922546387,-3.62425470352
97,ACT-CLJ0248.7-0019,42.2009544373,-0.3279748559
98,ACT-CLJ0248.9-0328,42.2438049316,-3.48135900497
99,ACT-CLJ0249.6+0210,42.4245567322,2.16859579086
100,ACT-CLJ0250.1+0008,42.5392532349,0.135721817613
101,ACT-CLJ0253.5-0017,43.3937187195,-0.297234237194
102,ACT-CLJ0254.4-0538,43.6123199463,-5.63973760605
103,ACT-CLJ0256.5+0006,44.136756897,0.10306160897
104,ACT-CLJ0257.0-0300,44.2719154358,-3.01774954796
105,ACT-CLJ0258.4+0147,44.6203765869,1.79402148724
106,ACT-CLJ0259.4-0524,44.8666305542,-5.4104514122
107,ACT-CLJ0259.8-0037,44.9686584473,-0.625793457031
108,ACT-CLJ0300.2+0125,45.0555992126,1.41701745987
109,ACT-CLJ0301.5-0248,45.3887557983,-2.81326913834
110,ACT-CLJ0839.5-0140,129.88041687,-1.68005108833
111,ACT-CLJ0839.5-0150,129.879776001,-1.8441067934
112,ACT-CLJ0842.3+0033,130.59928894,0.550940871239
113,ACT-CLJ0842.9+0424,130.738677979,4.39614200592
114,ACT-CLJ0844.6+0216,131.17376709,2.27397918701
115,ACT-CLJ0845.0+0127,131.263046265,1.46251022816
116,ACT-CLJ0845.4+0327,131.372009277,3.4599545002
117,ACT-CLJ0848.4+0412,132.107910156,4.20224380493
118,ACT-CLJ0848.5-0122,132.141571045,-1.37009572983
119,ACT-CLJ0849.6-0051,132.419021606,-0.856458723545
120,ACT-CLJ0849.8+0440,132.456375122,4.66891288757
121,ACT-CLJ0852.2-0101,133.074203491,-1.02396178246
122,ACT-CLJ0853.4+0132,133.365112305,1.53896450996
123,ACT-CLJ0854.7-0122,133.697814941,-1.37417173386
124,ACT-CLJ0855.4-0106,133.871520996,-1.11750924587
125,ACT-CLJ0856.3+0146,134.087936401,1.78133296967
126,ACT-CLJ0856.4-0013,134.105819702,-0.230994328856
127,ACT-CLJ0856.5+0143,134.1300354,1.72367167473
128,ACT-CLJ0857.8+0310,134.465698242,3.17602372169
129,ACT-CLJ0859.0-0119,134.75553894,-1.33516871929
130,ACT-CLJ0859.4+0308,134.876556396,3.14386987686
131,ACT-CLJ0901.5+0301,135.386260986,3.01738715172
132,ACT-CLJ0901.7+0408,135.446762085,4.13955831528
133,ACT-CLJ0903.4-0136,135.873031616,-1.60536694527
134,ACT-CLJ0904.3+0206,136.080886841,2.10462021828
135,ACT-CLJ0904.5+0426,136.134506226,4.44388818741
136,ACT-CLJ0905.6+0434,136.415878296,4.57443475723
137,ACT-CLJ0907.8+0057,136.97215271,0.951149106026
138,ACT-CLJ0907.9+0254,136.983886719,2.91047430038
139,ACT-CLJ0909.5-0050,137.383148193,-0.836731374264
140,ACT-CLJ0913.2+0349,138.312606812,3.82280373573
141,ACT-CLJ0914.7+0011,138.695602417,0.190899521112
