col1,cluster,ra_1,dec_1,Component_name,Component_id,Isl_id,RA_2,DEC_2,E_RA,E_DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,Maj,E_Maj,Min,E_Min,PA,E_PA,Isl_Total_flux,E_Isl_Total_flux,Isl_rms,Isl_mean,Resid_Isl_rms,Resid_Isl_mean,RA_max,DEC_max,E_RA_max,E_DEC_max,S_Code,Xposn,E_Xposn,Yposn,E_Yposn,Xposn_max,E_Xposn_max,Yposn_max,E_Yposn_max,Maj_img_plane,E_Maj_img_plane,Min_img_plane,E_Min_img_plane,PA_img_plane,E_PA_img_plane,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,DC_PA,E_DC_PA,DC_Maj_img_plane,E_DC_Maj_img_plane,DC_Min_img_plane,E_DC_Min_img_plane,DC_PA_img_plane,E_DC_PA_img_plane,Tile,Subtile,QL_image_RA,QL_image_DEC,NVSS_distance,FIRST_distance,Peak_to_ring,Duplicate_flag,Quality_flag,Source_name,Source_type,QL_cutout,NN_dist,BMAJ,BMIN,BPA,GroupID,GroupSize,Separation
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020125.80-021111.4,46,49,30.35750184117568,-2.18651586223024,6.949093796E-5,6.535839895E-5,1.4944102586,0.3992740180799999,0.93913383036,0.16643510607999998,3.462138971784,0.6644209543919999,2.8172217385439997,0.46105964366400004,50.0453107369752,39.257606542924684,1.36859080638,0.2766110136,0.15541749599000002,-0.0020107852399999997,0.07094151805999999,0.020987732569999997,30.35750184117568,-2.18651586223024,6.949093796E-5,6.535839895E-5,S,2373.7135440151505,0.25016737665597993,2988.509341030592,0.2352902362199812,2373.7135440151505,0.25016737665597993,2988.509341030592,0.2352902362199812,3.4620880645439995,0.6644209543919999,2.817212259672,0.46105964366400004,50.03986272121682,39.257606542924684,2.53097424342,0.6644209543919999,0.873004309956,0.46105964366400004,69.22828041941308,39.257606542924684,2.530951175916,0.6644209543919999,0.8729964925920001,0.46105964366400004,69.22283240365469,39.257606542924684,T10t04,J020200-023000,30.500304166670002,-2.5,5.216549550715191,0.3930349047568863,1.6694514701751828,0,1,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.35750184117568+-2.18651586223024+0.025,107.24697860032258,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,251.60119454343078
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020132.20-021023.6,44,46,30.38418518001113,-2.1732296683315604,2.804618782E-5,2.652412359E-5,3.7960405393,0.4103545134400001,2.31318254685,0.16777309316,3.3137922282840004,0.2484678652200001,3.0354210326520006,0.212960371068,55.69134378503696,35.32688853921301,4.21621018453,0.34874059448,0.15534964041,-0.005464995869999999,0.2036500664,0.03635290705,30.38418518001113,-2.1732296683315604,2.804618782E-5,2.652412359E-5,S,2277.727396316531,0.10096627615199193,3036.348352867608,0.09548684492399236,2277.727396316531,0.10096627615199193,3036.348352867608,0.09548684492399236,3.31375264542,0.2484678652200001,3.035401700436,0.212960371068,55.686940658824255,35.32688853921301,2.4319293228,0.2484678652200001,1.235123977896,0.212960371068,80.68643840360345,35.32688853921301,2.4319189413,0.2484678652200001,1.23510663072,0.212960371068,80.68203527739074,35.32688853921301,T10t04,J020200-023000,30.500304166670002,-2.5,6.694025052715324,0.6260031898075649,5.006142613755233,0,0,J020132.20-021023.6,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.38418518001113+-2.1732296683315604+0.025,107.24697860032234,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,182.61774306808545
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020135.97-021227.8,42,44,30.399884444040126,-2.2077266284770802,1.5508423062E-4,2.1367384919E-4,6.935464286060001,1.4177538887299999,0.6378893797399999,0.11982788562,9.516212322804,1.834969890888,7.003057414392001,1.281586478796,167.1018945697329,32.35012538777698,3.97288774958,0.42572152925,0.16027632228,-0.00738423978,0.11558324331,0.09382994903999999,30.399884444040126,-2.2077266284770802,1.5508423062E-4,2.1367384919E-4,S,2221.2424779447783,0.5583032302319554,2912.1657657957026,0.7692258570839384,2221.2424779447783,0.5583032302319554,2912.1657657957026,0.7692258570839384,9.516112459883999,1.834969890888,7.003029049668001,1.281586478796,167.09802633931758,32.35012538777698,9.092381962212,1.834969890888,6.646395293496,1.281586478796,165.79993861424254,32.35012538777698,9.092289270239998,1.834969890888,6.646366382796002,1.281586478796,165.79607038382719,32.35012538777698,T10t04,J020200-023000,30.500304166670002,-2.5,107.10039884695504,111.34998265032092,1.2008364549064654,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.399884444040126+-2.20772662847708+0.025,12.788319618279164,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,94.17445833451734
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020136.81-021225.7,41,43,30.40339302914546,-2.2071547828250497,1.1582343494000001E-4,1.7773488508000002E-4,4.020886055379998,0.9367646999700001,0.7416257986399999,0.1474161966,7.426067204916,1.600352098524,4.4750684274840005,0.820471987368,23.11657332738815,23.331280318548828,2.88266422073,0.37533776195,0.16046201927,-0.00705721686,0.12517577852,-0.13114875765,30.40339302914546,-2.2071547828250497,1.1582343494000001E-4,1.7773488508000002E-4,S,2208.6210999369723,0.4169643657839667,2914.225331356628,0.6398455862879489,2208.6210999369723,0.4169643657839667,2914.225331356628,0.6398455862879489,7.425960360732,1.600352098524,4.475067970644,0.820471987368,23.11284121462279,23.331280318548828,6.892630273656,1.600352098524,3.86124717078,0.820471987368,25.20072881241233,23.331280318548828,6.892531841736,1.600352098524,3.861246363516,0.820471987368,25.19699669964697,23.331280318548828,T10t04,J020200-023000,30.500304166670002,-2.5,94.7213341994191,101.7998458462358,1.0297119978452682,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.40339302914546+-2.2071547828250497+0.025,9.497616867884027,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,81.3950643536249
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020137.43-021223.6,40,42,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,12.752204846649999,1.87452247966,0.6939977357599999,0.09686919335,14.211309807180006,2.0473615989360003,7.925282067384,1.071789607008,85.56940599729789,15.907945726812091,6.794694542329999,0.50746365609,0.16099863569,-0.0073091901,0.09083194891,0.042752297300000006,30.405969973802556,-2.20658081033034,2.4098183702000005E-4,1.2742842520999998E-4,S,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,2199.351125554939,0.8675346132719307,2916.2922801336817,0.4587423307559632,14.211280341936002,2.0473615989360003,7.925183849087999,1.071789607008,85.56577407044671,15.907945726812091,14.046438119472,2.0473615989360003,7.396882355772001,1.071789607008,85.72656414029333,15.907945726812091,14.046409385639999,2.0473615989360003,7.396790480856001,1.071789607008,85.72293221344215,15.907945726812091,T10t04,J020200-023000,30.500304166670002,-2.5,85.4607448926181,92.43683292159297,0.9711453319885148,0,2,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.405969973802556+-2.20658081033034+0.025,9.497616867884213,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,71.89908226135722
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020138.52-021217.9,-5,40,30.410515425048427,-2.20499563002625,0.0,0.0,0.0,0.0,0.9367665043100001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78922392232,0.4763458750699999,0.16206475265999998,-0.008822882590000001,0.0,0.0,30.410515425048427,-2.20499563002625,0.0,0.0,E,2183.000000000054,0.0,2922.000000000078,0.0,2183.000000000054,0.0,2922.000000000078,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T10t04,J020200-023000,30.500304166670002,-2.5,68.29659779370955,75.15711750290198,1.4544074479711395,0,4,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.410515425048427+-2.20499563002625+0.025,-99.0,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,54.79127678763065
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020141.73-021426.6,38,39,30.42389856613284,-2.2407404962245496,9.099744834000001E-5,8.057748823E-5,1.98277693055,0.51985731864,0.8543891027000001,0.16410999093999998,3.9541968871200006,0.7814704569840001,3.5973278845200007,0.6715593368639999,71.78453494422283,87.76318574241812,1.0553750701900002,0.23703438705,0.15150559193000002,-0.00177018831,0.01133520527,-0.0016588573999999998,30.42389856613284,-2.2407404962245496,9.099744834000001E-5,8.057748823E-5,S,2134.8497606504206,0.32759081402397383,2793.3230348957154,0.2900789576279768,2134.8497606504206,0.32759081402397383,2793.3230348957154,0.2900789576279768,3.954182682564,0.7814704569840001,3.597300786168,0.6715593368639999,71.78154776682732,87.76318574241812,3.291188981292,0.7814704569840001,2.233704958128,0.6715593368639999,83.28609061967954,87.76318574241812,3.2911833332160003,0.7814704569840001,2.233683941076,0.6715593368639999,83.28310344228403,87.76318574241812,T10t04,J020200-023000,30.500304166670002,-2.5,161.0162234616997,1.0967792037514923,2.156388222309937,0,0,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.42389856613284+-2.2407404962245496+0.025,138.860854678263,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,137.35947582887758
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020143.11-021147.8,37,38,30.42965921202191,-2.19662406063209,4.11030952E-6,6.8779703899999996E-6,9.647974896749998,0.2965516051200001,9.298304313209998,0.16507606822999998,2.8919114865360003,0.058725870876,2.199222429372,0.034133860368000014,8.42786176937761,2.9852611008181205,9.762391059209998,0.35612598677,0.16590919404,-0.013635443789999998,0.16237908858,0.01548055843,30.42965921202191,-2.19662406063209,4.11030952E-6,6.8779703899999996E-6,S,2114.134890687813,0.014797114271998816,2952.1414444916054,0.024760693403998016,2114.134890687813,0.014797114271998816,2952.1414444916054,0.024760693403998016,2.8918690368480005,0.058725870876,2.1992222135880004,0.034133860368000014,8.42515415691433,2.9852611008181205,0.7860979837800001,0.058725870876,0.0,0.034133860368000014,50.083769461258754,2.9852611008181205,0.7860905712359999,0.058725870876,0.0,0.034133860368000014,50.08106184879548,2.9852611008181205,T10t04,J020200-023000,30.500304166670002,-2.5,8.635551795730642,0.17250037007421476,23.95735732156301,0,0,J020143.11-021147.8,SC,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.42965921202191+-2.19662406063209+0.025,53.403756129068434,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,26.145207679109333
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020146.62-021157.5,33,36,30.44425745782034,-2.19931913307035,3.246381148E-5,5.579329175E-5,41.802082987279995,1.90128227179,6.860198013020001,0.16154660261,8.988681805452,0.492237053388,5.037730087356,0.23906309151600005,71.52947801078071,5.60609821292897,60.80498026759,1.2090126604,0.16154660261,-0.00734655305,0.1481610816,0.009728047189999998,30.44384391976271,-2.19978989311548,3.246381148E-5,5.579329175E-5,M,2061.6194917387365,0.11686972132799064,2942.441851077845,0.200855850299984,2063.107067289086,0.11686972132799064,2940.747074507304,0.200855850299984,8.9886516579,0.492237053388,5.037675206652,0.23906309151600005,71.52732727161336,5.60609821292897,8.704773609587999,0.492237053388,4.20082251336,0.23906309151600005,72.6667372843637,5.60609821292897,8.704746476568001,0.492237053388,4.200775754687999,0.23906309151600005,72.66458654519639,5.60609821292897,T10t04,J020200-023000,30.500304166670002,-2.5,6.452119511616268,1.2900755494955922,2.504916841024904,0,0,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.44425745782034+-2.19931913307035+0.025,18.876213945654946,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,68.3036018537375
0,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,VLASS1QLCIR J020147.83-021152.4,32,36,30.44931095381657,-2.1979074207692597,5.53708624E-5,3.657741544E-5,25.81547655044001,1.36918295674,2.55582713896,0.12382484791,9.391500877824,0.4699800134639999,6.592273235784003,0.30920283374400004,86.23631879125601,7.4938809748207476,60.80498026759,1.2090126604,0.16154660261,-0.00734655305,0.1481610816,0.009728047189999998,30.44931095381657,-2.1979074207692597,5.53708624E-5,3.657741544E-5,C,2043.4404887711585,0.19933510463998405,2947.524685755686,0.13167869558398945,2043.4404887711585,0.19933510463998405,2947.524685755686,0.13167869558398945,9.391493729844,0.4699800134639999,6.592184015508,0.30920283374400004,86.23436323153925,7.4938809748207476,9.140653319256,0.4699800134639999,5.945727807323999,0.30920283374400004,86.65347310554955,7.4938809748207476,9.140646783204,0.4699800134639999,5.945647063607999,0.30920283374400004,86.65151754583276,7.4938809748207476,T10t04,J020200-023000,30.500304166670002,-2.5,12.42431002662434,0.7888105727990712,2.5341094826012927,0,0,,N/,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T10t04.J020200-023000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dz85vn4l3e5d3iv0n&CIRCLE=30.44931095381657+-2.19790742076926+0.025,18.87621394565488,2.8528802394865203,2.1484823226930003,1.9800760746000001,1,13,87.10931508067488
