,Source,rms_map,rms_snr,avg_snr,ntail,amp_fit_snr,mean_fit_snr,std_fit_snr,red_type
145,ACT-CLJ0916.7+0155,0.00014423999739663422,1.055180053420194,-0.07030716192706113,0.0,3712.7971911173654,-0.00038450095488112704,0.8862869652669233,20.0
146,ACT-CLJ0916.8-0059,0.00012798605281527463,1.0601498231211302,-0.11270660812529759,0.0,3004.6747190688575,-0.011269254929657543,1.0480513469735948,20.0
147,ACT-CLJ0918.7+0211,0.00012324800022871826,1.00660408157553,0.07428408133772221,0.0,3125.505815658435,-0.056817179917188466,1.013513304547658,20.0
148,ACT-CLJ0920.4+0134,0.00011966654495652338,1.0185511261276972,-0.032990505275762756,0.0,2969.3617635138494,-0.009084690061067796,1.0579855323921536,20.0
149,ACT-CLJ0921.0-0148,0.0001277143243023255,1.0698629729521998,-0.0749674265705248,0.0019051973784484073,3011.6204065123907,-0.012169456585479708,1.0551710175713647,20.0
150,ACT-CLJ0921.3+0317,0.00012673503670195964,1.0781507276838582,-0.05549081837476646,0.0019051973784484073,3028.7304936609366,-0.0063013125362137625,1.0523373189433136,20.0
151,ACT-CLJ0922.1-0027,0.00012592897993398737,1.0377619873052373,-0.031376966333124326,0.005715592135345221,3106.0366458168423,0.006586606043416246,1.0138791514846062,20.0
152,ACT-CLJ0922.1+0346,0.00013095171371177542,1.1543562207393216,-0.18048725125144058,0.011431184270690443,2882.9213662280495,0.006661403346175587,1.0952151294043775,20.0
153,ACT-CLJ0930.4+0216,0.00011133791656952303,0.970886696860876,-0.038052733672519296,0.0009525986892242037,3135.9233197581093,0.005650820468028303,0.995194751140518,20.0
154,ACT-CLJ0935.0+0053,0.00012456541300567654,1.0530357200721863,0.16090512799078135,0.0,3030.5621242818434,0.02729191942571407,1.0352728029781728,20.0
155,ACT-CLJ0935.2+0048,0.00012020412395614276,1.0302502005553755,0.1119106940533581,0.0,2981.1334471204837,-0.013400757962561951,1.0550662135384923,20.0
156,ACT-CLJ0935.3+0233,0.0001247339948846492,1.0636284600586716,-0.10679936336741426,0.0009525986892242037,3020.1786094738486,-0.08070907795245842,1.0517403911105123,20.0
157,ACT-CLJ0940.9+0322,0.00011884689999534475,1.0086174425974588,0.041622393143327906,0.0038103947568968147,3060.5938049529323,-0.07084617194752434,1.0358379904700714,20.0
158,ACT-CLJ0943.7+0059,0.00012131406642154948,1.0610073723285987,-0.15041444990578834,0.0,3064.18466504986,-0.06408320344073272,1.027905207205582,20.0
159,ACT-CLJ0947.9-0120,0.00012535397158517305,1.0451318992575553,-0.044840447745385384,0.0028577960676726107,3026.9066475118684,-0.03394507693118341,1.0409369960087205,20.0
160,ACT-CLJ0951.6-0014,0.00012408373918544848,1.0197798423023494,-0.07282763642500344,0.0,3128.8800555103912,-0.031048604955182704,1.0034580120583811,20.0
161,ACT-CLJ0956.1+0158,0.00012392777292188673,1.0205636631199297,-0.1105602173408362,0.01047858558146624,3065.4202216433814,0.004378629106035589,1.0282700499178814,20.0
162,ACT-CLJ0957.6+0234,0.00012233154066629759,1.0215496024026545,-0.005212784429819274,0.0038103947568968147,2983.946556318718,-0.0418461082631884,1.0657731969280393,20.0
163,ACT-CLJ1005.5+0235,0.00012760632931295077,1.015580709448632,-0.04595597970925249,0.0,3076.561755085842,-0.004433904377538164,1.026189968265596,20.0
164,ACT-CLJ1006.9+0255,0.00013902902085873473,1.1044282463893622,-0.22344483727182765,0.0038103947568968147,2954.829235758803,-0.06469503088323018,1.0708516014584992,20.0
165,ACT-CLJ1020.1-0013,0.00010248481124426374,1.0899434257070235,-0.18940895151664267,0.0038103947568968147,3890.6849980680704,-0.013937266672714561,0.8815398497065059,20.0
166,ACT-CLJ1020.3-0100,0.00011655209087379168,1.0634301490415625,-0.009214850792306906,0.0,3796.41710269997,0.005426718425298233,0.9048384340760707,20.0
167,ACT-CLJ1027.8+0004,0.00015279101346003018,1.0513175583776198,-0.14320068141208928,0.0038103947568968147,3074.610039770554,-0.03510958243782419,1.0211691753334693,20.0
168,ACT-CLJ1029.9+0016,0.00015469653711068374,1.0642464494353172,0.05674625754829545,0.0,2937.3344900227753,-0.002184088972847359,1.0750123038007318,20.0
169,ACT-CLJ1031.2+0031,0.00013028638867025727,1.1297020852762116,0.1522556980770391,0.0,3719.969109097661,-0.0029376321338082023,0.9137523901020741,20.0
170,ACT-CLJ1032.1-0249,0.000133385627486036,1.0878380306947268,-0.06192600888707411,0.0,3785.3216250898354,-0.008609906089672683,0.9043084245841467,20.0
171,ACT-CLJ1035.1-0248,0.00013573607410697074,0.9886730885137345,-0.1374552002135837,0.0,3199.980943329301,-0.007458831046782377,0.9840678013065121,20.0
172,ACT-CLJ1035.1+0249,0.0001808205686665421,1.0502947220986851,0.057826712245795324,0.0,3700.210851109876,-0.0272580120256054,0.8759803765859578,20.0
173,ACT-CLJ1035.4-0001,0.0001308900081025188,1.0172555115078106,-0.1331728814125961,0.0009525986892242037,3053.075138926653,-0.04319411655658383,1.030288182729755,20.0
174,ACT-CLJ1036.2-0223,0.00012602430895894374,0.9883023906213818,-0.0929901560815199,0.0009525986892242037,3104.114505154476,-0.01997694843902453,1.0130943514108797,20.0
175,ACT-CLJ1036.9+0154,0.00024127610928793814,1.0485833257002148,-0.07769209314884146,0.012383782959914647,2978.5637141042457,0.012443187813032597,1.0268246611643101,20.0
176,ACT-CLJ1049.3-0002,0.0002405216625727095,1.0155253969495013,0.07076166532079295,0.020004572473708276,2941.873159429451,0.01385462750797785,1.03875850549416,20.0
177,ACT-CLJ1050.6+0017,0.0002489392181222796,1.0695079696482241,-0.09304123587057665,0.0,2929.060014445451,-0.02369103100876361,1.040551041648288,20.0
178,ACT-CLJ1053.7-0156,0.00024347243497940837,1.027551983800723,-0.04492686299700137,0.012383782959914647,2955.556418288425,-0.01980370918267952,1.0324383173687026,20.0
179,ACT-CLJ1107.4+0121,0.00013943454575311877,1.049550279001097,-0.04542174934381295,0.0,3024.3840274204504,0.006670164542848037,1.0380207300469042,20.0
180,ACT-CLJ1110.2-0030,0.0001257949523067429,0.9872437456562133,-0.0222543113217968,0.0,2898.5895332850278,-0.007785781908017144,1.0867239025143207,20.0
181,ACT-CLJ1110.3+0143,0.00012576931521821627,0.9765129468036295,0.08397251597411032,0.0,3087.324143299861,-0.005417665587201028,1.0215409566036542,20.0
