,noise,cumulative_pix_num,cumulative_area_sqarcsec
1009,0.0010000000000000009,21972712.0,87890852.25644849
1010,0.0011000000000000038,22200376.0,88801508.30055048
1011,0.0011999999999999927,22411634.0,89646540.34147437
1012,0.0012999999999999956,22607178.0,90428716.37935421
1013,0.0013999999999999985,22789192.0,91156772.41461307
1014,0.0015000000000000013,22957367.0,91829472.44719113
1015,0.0016000000000000042,23112874.0,92451500.4773152
1016,0.0016999999999999932,23256217.0,93024872.5050829
1017,0.001799999999999996,23389846.0,93559388.53096887
1018,0.001899999999999999,23513170.0,94052684.55485861
1019,0.0020000000000000018,23627539.0,94510160.57701361
1020,0.0021000000000000046,23734184.0,94936740.59767237
1021,0.0021999999999999936,23833190.0,95332764.61685133
1022,0.0022999999999999965,23925468.0,95701876.63472699
1023,0.0023999999999999994,24011708.0,96046836.65143299
1024,0.0025000000000000022,24092308.0,96369236.66704643
1025,0.002600000000000005,24167607.0,96670432.68163298
1026,0.002699999999999994,24237809.0,96951240.69523217
1027,0.002799999999999997,24303607.0,97214432.70797825
1028,0.0029,24364959.0,97459840.71986306
1029,0.0030000000000000027,24423339.0,97693360.73117214
1030,0.0031000000000000055,24477505.0,97910024.74166492
1031,0.0031999999999999945,24528891.0,98115568.75161916
1032,0.0032999999999999974,24577350.0,98309404.7610064
1033,0.0034000000000000002,24622935.0,98491744.76983693
1034,0.003500000000000003,24665952.0,98663812.77816997
1035,0.003600000000000006,24706707.0,98826832.78606485
1036,0.003699999999999995,24744749.0,98979000.79343416
1037,0.003799999999999998,24780947.0,99123792.80044626
1038,0.0039000000000000007,24814903.0,99259616.80702405
1039,0.0040000000000000036,24847825.0,99391304.81340154
1040,0.0040999999999999925,24878681.0,99514728.81937884
1041,0.004199999999999995,24907977.0,99631912.82505393
1042,0.004299999999999998,24935827.0,99743312.8304489
1043,0.004400000000000001,24962233.0,99848936.83556414
1044,0.004500000000000004,24987410.0,99949644.8404413
1045,0.004599999999999993,25011516.0,100046068.845111
1046,0.004699999999999996,25034284.0,100137140.8495215
1047,0.004799999999999999,25055784.0,100223140.85368638
1048,0.004900000000000002,25076758.0,100307036.8577494
1049,0.0050000000000000044,25096344.0,100385380.86154354
1050,0.005099999999999993,25115269.0,100461080.86520961
1051,0.005199999999999996,25133127.0,100532512.86866902
1052,0.005299999999999999,25150150.0,100600604.87196665
1053,0.005400000000000002,25166491.0,100665968.87513214
1054,0.005500000000000005,25182128.0,100728516.8781613
1055,0.005599999999999994,25197054.0,100788220.88105273
1056,0.005699999999999997,25211411.0,100845648.88383391
1057,0.0058,25225023.0,100900096.88647082
1058,0.0059000000000000025,25238015.0,100952064.8889876
1059,0.006000000000000005,25250634.0,101002540.89143212
1060,0.006099999999999994,25262507.0,101050032.89373212
1061,0.006199999999999997,25274159.0,101096640.89598928
1062,0.0063,25285365.0,101141464.89816009
1063,0.006400000000000003,25295868.0,101183476.90019469
1064,0.006500000000000006,25306147.0,101224592.9021859
1065,0.006599999999999995,25315982.0,101263932.90409113
1066,0.006699999999999998,25325365.0,101301464.90590876
1067,0.0068000000000000005,25334422.0,101337692.90766324
1068,0.006900000000000003,25343063.0,101372256.90933715
1069,0.007000000000000006,25351221.0,101404888.91091749
1070,0.007099999999999995,25359201.0,101436808.91246334
1071,0.007199999999999998,25367024.0,101468100.91397877
1072,0.007300000000000001,25374392.0,101497572.91540606
1073,0.007400000000000004,25381517.0,101526072.91678628
1074,0.007499999999999993,25388320.0,101553284.91810413
1075,0.007599999999999996,25395020.0,101580084.91940202
1076,0.0076999999999999985,25401459.0,101605840.92064935
1077,0.007800000000000001,25407488.0,101629956.92181727
1078,0.007900000000000004,25413336.0,101653348.92295012
1079,0.007999999999999993,25419033.0,101676136.92405371
1080,0.008099999999999996,25424488.0,101697956.92511043
1081,0.008199999999999999,25429840.0,101719364.9261472
1082,0.008300000000000002,25434891.0,101739568.92712565
1083,0.008400000000000005,25439776.0,101759108.92807195
1084,0.008499999999999994,25444590.0,101778364.92900449
1085,0.008599999999999997,25449143.0,101796576.92988648
1086,0.0087,25453630.0,101814524.93075567
1087,0.008800000000000002,25457917.0,101831672.93158613
1088,0.008900000000000005,25462041.0,101848168.93238503
1089,0.008999999999999994,25466055.0,101864224.9331626
1090,0.009099999999999997,25469972.0,101879892.9339214
1091,0.0092,25473624.0,101894500.93462884
1092,0.009300000000000003,25477262.0,101909052.93533358
1093,0.009400000000000006,25480700.0,101922804.93599957
1094,0.009499999999999995,25484021.0,101936088.9366429
1095,0.009599999999999997,25487391.0,101949568.93729572
1096,0.0097,25490621.0,101962488.93792142
1097,0.009800000000000003,25493765.0,101975064.93853046
1098,0.009900000000000006,25496736.0,101986948.93910599
1099,0.009999999999999995,25499677.0,101998712.9396757
1100,0.010099999999999998,25502474.0,102009900.94021752
1101,0.0102,25505194.0,102020780.94074443
1102,0.010300000000000004,25507859.0,102031440.94126068
1103,0.010400000000000006,25510433.0,102041736.9417593
1104,0.010499999999999995,25512861.0,102051448.94222964
1105,0.010599999999999998,25515349.0,102061400.9427116
1106,0.010700000000000001,25517595.0,102070384.94314669
1107,0.010800000000000004,25519958.0,102079836.94360444
1108,0.010899999999999993,25522207.0,102088832.9440401
1109,0.010999999999999996,25524308.0,102097236.9444471
1110,0.011099999999999999,25526344.0,102105380.9448415
1111,0.011200000000000002,25528377.0,102113512.94523533
1112,0.011300000000000004,25530353.0,102121416.94561811
1113,0.011399999999999993,25532230.0,102128924.94598171
1114,0.011499999999999996,25534011.0,102136048.94632672
1115,0.0116,25535805.0,102143224.94667424
1116,0.011700000000000002,25537556.0,102150228.94701344
1117,0.011800000000000005,25539153.0,102156616.9473228
1118,0.011899999999999994,25540812.0,102163252.94764417
1119,0.011999999999999997,25542415.0,102169664.9479547
1120,0.0121,25543962.0,102175852.94825438
1121,0.012200000000000003,25545485.0,102181944.9485494
1122,0.012300000000000005,25547017.0,102188072.94884618
1123,0.012399999999999994,25548429.0,102193720.9491197
1124,0.012499999999999997,25549790.0,102199164.94938335
1125,0.0126,25551070.0,102204284.9496313
1126,0.012700000000000003,25552379.0,102209520.94988488
1127,0.012800000000000006,25553678.0,102214716.95013651
1128,0.012899999999999995,25554964.0,102219860.95038563
1129,0.012999999999999998,25556143.0,102224576.95061402
1130,0.0131,25557274.0,102229100.95083311
