col1,cluster,ra_1,dec_1,RA_2,DEC_2,SIDEPROB,FPEAK,FINT,RMS,MAJOR,MINOR,POSANG,FITTED_MAJOR,FITTED_MINOR,FITTED_POSANG,FLDNAME,NSDSS,SDSS_SEP,SDSS_MAG,SDSS_CLASS,NTMASS,TMASS_SEP,TMASS_MAG,YEAR,MJD,MJDRMS,MJDSTART,MJDSTOP,GroupID,GroupSize,Separation
1,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,30.423796997352422,-2.241027755363496,0.014053002,1.91,2.358735,0.14471117,4.76,0.0,110.2,7.35,5.82,121.3,02015-02230T,1,7.7491083,21.025608,s,0,99.0,99.0,1995.9775,2450075.314749579,6.023888985660448,2450062.6842013896,2450078.6424652785,2,11,138.4088970675663
1,ACT-CLJ0201.6-0211,30.4255599976,-2.20262122154,30.46752045332426,-2.2930834017925137,0.2569577,1.36,0.66162163,0.14176837,0.0,0.0,124.0,4.85,3.49,162.0,02015-02230T,0,99.0,99.0,-,0,99.0,99.0,1995.9816,2450076.7760804384,4.247385871780319,2450062.6842013896,2450078.6424652785,2,11,358.9432334223675
2,ACT-CLJ0201.6-0503,30.4129714966,-5.05930614471,30.392787938520563,-4.966425205907616,0.014053002,17.25,19.512794,0.13845976,2.89,0.79,127.0,6.76,5.78,161.2,02015-04595T,1,4.3827395,21.542465,g,0,99.0,99.0,1997.3909,2450592.1875000005,0.0,2450592.1875000005,2450592.1898032413,3,5,342.1162097732023
2,ACT-CLJ0201.6-0503,30.4129714966,-5.05930614471,30.394840410366154,-4.967869364030252,0.014053002,5.69,5.8050556,0.13846631,2.22,0.0,117.1,6.36,5.55,156.8,02015-04595T,0,99.0,99.0,-,0,99.0,99.0,1997.3909,2450592.187500001,4.6566128730773926E-10,2450592.1875000005,2450592.1898032413,3,5,335.53294740808224
2,ACT-CLJ0201.6-0503,30.4129714966,-5.05930614471,30.42069267637465,-5.030205512377195,0.014053002,1.28,0.85747576,0.13886523,0.0,0.0,101.4,5.43,4.25,113.2,02015-04595T,1,0.19150485,16.459017,g,1,0.13414682,14.511,1997.3909,2450592.1869932227,0.0025656056074680237,2450592.17400463,2450592.1898032413,3,5,108.35954792992969
2,ACT-CLJ0201.6-0503,30.4129714966,-5.05930614471,30.349590407114817,-5.095527734051905,0.014053002,6.45,6.2627416,0.1422057,1.62,0.0,109.6,6.13,5.48,159.8,02015-04595T,0,99.0,99.0,-,0,99.0,99.0,1997.3909,2450592.184017508,0.009298564065787794,2450592.1559027783,2450592.1898032413,3,5,262.0271139465318
2,ACT-CLJ0201.6-0503,30.4129714966,-5.05930614471,30.373919540938402,-5.11821121917234,0.014053002,2.1,1.6686487,0.14395769,0.0,0.0,89.4,5.26,5.21,13.8,02015-04595T,0,99.0,99.0,-,0,99.0,99.0,1997.3909,2450592.1824433426,0.010890250256835253,2450592.1559027783,2450592.1898032413,3,5,254.1218693740545
3,ACT-CLJ0203.0-0042,30.752166748,-0.710814654827,30.747274756444227,-0.711402781953468,0.5623766,0.98,1.0873972,0.13697283,4.67,0.0,85.0,7.15,5.32,82.4,02045-00390Z,3,1.223618,19.631704,g,1,6.388885,15.126,2002.5038,2452459.3917581555,2329.9136736263467,2450031.768344908,2454927.4097106485,4,5,17.73663727620416
3,ACT-CLJ0203.0-0042,30.752166748,-0.710814654827,30.76673055029501,-0.712899980763876,0.038983844,1.58,1.1523309,0.1386748,0.0,0.0,90.1,5.56,4.55,180.0,02045-00390Z,2,0.14819661,18.917654,g,0,99.0,99.0,2002.5693,2452483.301078261,2334.6322125415904,2450031.768344908,2454927.4097106485,4,5,52.96041505857489
3,ACT-CLJ0203.0-0042,30.752166748,-0.710814654827,30.71426786728014,-0.7365333424266192,0.014053002,2.0900002,2.9191844,0.137652,4.54,2.49,71.9,7.26,6.65,44.6,02015-00390Z,1,5.0365963,22.380861,g,0,99.0,99.0,2002.4579,2452442.6090814807,2365.3312540996726,2450031.768344908,2454927.4097106485,4,5,164.87634115113758
