,cluster,ra_deg,dec_deg,flux_offset,flux_no_offset
0,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
1,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
2,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
3,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
4,ACT-CLJ0200.3+0019,30.114872366299885,0.3792614464123787,-0.031154830074600143,0.06650864973126837
5,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
6,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
7,ACT-CLJ0200.3+0019,30.114872366299885,0.3792614464123787,-0.031154830074600143,0.06650864973126837
8,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
9,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
10,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
11,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
12,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
13,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
14,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
15,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
16,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
17,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
18,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
19,ACT-CLJ0200.3+0019,30.03709320490783,0.3281502438148852,-0.031089005022402708,0.10151174015095286
20,ACT-CLJ0200.3+0019,30.114872364960732,0.378705891411053,-0.031096021562841733,0.06464610144902967
21,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
22,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
23,ACT-CLJ0200.3+0019,30.056538042625142,0.3025947778417004,-0.031096063090103328,0.05835045354248744
24,ACT-CLJ0200.3+0019,30.114872364960732,0.378705891411053,-0.031096021562841733,0.06464610144902967
25,ACT-CLJ0201.6-0211,30.443906845127803,-2.199287775487005,-0.9035356477057026,0.05061049891081371
26,ACT-CLJ0201.6-0211,30.42945174745773,-2.19706566080404,-0.9053088738317491,0.04470965328135391
27,ACT-CLJ0201.6-0211,30.443906845127803,-2.199287775487005,-0.9035356477057026,0.05061049891081371
28,ACT-CLJ0201.6-0211,30.42945174745773,-2.19706566080404,-0.9053088738317491,0.04470965328135391
29,ACT-CLJ0201.6-0211,30.428895784437728,-2.1976212177107164,-0.9032699948731102,0.04133941035400257
30,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
31,ACT-CLJ0201.6-0211,30.428895784437728,-2.1976212177107164,-0.9032699948731102,0.04133941035400257
32,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
33,ACT-CLJ0201.6-0211,30.443906845127803,-2.199287775487005,-0.9035356477057026,0.05061049891081371
34,ACT-CLJ0201.6-0211,30.42945174745773,-2.19706566080404,-0.9053088738317491,0.04470965328135391
35,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
36,ACT-CLJ0201.6-0211,30.428895784437728,-2.1976212177107164,-0.9032699948731102,0.04133941035400257
37,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
38,ACT-CLJ0201.6-0211,30.428895784437728,-2.1976212177107164,-0.9032699948731102,0.04133941035400257
39,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
40,ACT-CLJ0201.6-0211,30.428895784437728,-2.1976212177107164,-0.9032699948731102,0.04133941035400257
41,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
42,ACT-CLJ0201.6-0211,30.429451748909106,-2.197621216367048,-0.905314408734015,0.049235012436019465
43,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
44,ACT-CLJ0201.6-0211,30.429451748909106,-2.197621216367048,-0.905314408734015,0.049235012436019465
45,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
46,ACT-CLJ0201.6-0211,30.428895784437728,-2.1976212177107164,-0.9032699948731102,0.04133941035400257
47,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
48,ACT-CLJ0201.6-0211,30.428895784437728,-2.1976212177107164,-0.9032699948731102,0.04133941035400257
49,ACT-CLJ0201.6-0211,30.444462810164648,-2.199287768556739,-0.9053101265204956,0.0525404664749224
50,ACT-CLJ0201.6-0211,30.428895784437728,-2.1976212177107164,-0.9032699948731102,0.04133941035400257
