,cluster,Component_name,Component_id,ra_vlass,dec_vlass,pix_x,pix_y,amp_map,x_map,y_map,sigma_x_map,sigma_y_map,theta_map,offset_map,amp_snr,x_snr,y_snr,sigma_x_snr,sigma_y_snr,theta_snr,offset_snr
0,ACT-CLJ0201.6-0211,VLASS1QLCIR J020125.80-021111.4,46.0,30.35750184117568,-2.18651586223024,284.4155480456305,190.98687293198034,0.0010534062000875687,284.41554810572984,190.98687299374305,3.0000000795038426,3.000000023495746,0.0,-9.187879314532513e-06,1.5426295584075174,260.41027874173204,193.76718819328988,9.027324975495036,20.242626427109283,0.29032061122556113,-0.01738035136188904
1,ACT-CLJ0201.6-0211,VLASS1QLCIR J020132.20-021023.6,44.0,30.38418518001113,-2.1732296683315604,236.42112615030612,214.90378017120935,0.0010827996712076155,236.4211261702424,214.9037800149649,2.9999997396894815,2.9999996627191936,0.0,-9.191008317038687e-06,1.5426013334299002,260.41056869887865,193.77085234044281,9.025770832883305,20.241081974565937,0.2901078802188081,-0.01736277988156207
2,ACT-CLJ0201.6-0211,VLASS1QLCIR J020135.97-021227.8,42.0,30.39988444404013,-2.20772662847708,208.18169383423154,152.8098690977216,7.31405129737097e-05,208.18169388799427,152.80986908753488,2.9999998648280144,2.999999862585153,0.0,-8.658691793214826e-06,0.0024997917652420567,208.2942624272245,152.80833967142178,2.885416881462571,2.8669161210721734,-2.2484859216358577e-06,-0.0005059100151034309
3,ACT-CLJ0201.6-0211,VLASS1QLCIR J020136.81-021225.7,41.0,30.40339302914546,-2.2071547828250497,201.87094274632904,153.8392928288415,-0.00010735497744990203,201.87094273612317,153.83929283012333,2.9999999922138656,2.9999999846193757,0.0,-8.566139323083019e-06,-1.285728075647279,214.05482174674177,164.25297655756657,1.5863043422018328,16.41460704519465,0.7048530361739918,0.0015026964211493953
4,ACT-CLJ0201.6-0211,VLASS1QLCIR J020137.43-021223.6,40.0,30.40596997380256,-2.20658081033034,197.23589665689354,154.87250840829648,3.1697494879636204e-05,197.23589667275644,154.87250850259653,2.9999998661106364,2.9999998662298935,0.0,-8.640802459493725e-06,2.4387132232761815,192.9907719509466,151.63077279192976,3.791782976148273,1.7402119939567304,-0.06361268241584699,-0.0014633235429400118
5,ACT-CLJ0201.6-0211,VLASS1QLCIR J020138.52-021217.9,-5.0,30.410515425048427,-2.20499563002625,189.0601794462922,157.72592813607758,-0.00037717947826502,189.06017941963526,157.72592817550748,3.000000010725197,2.999999949301655,0.0,-8.417999964167828e-06,-2.2511990176979517,190.92891678622362,160.47808826331786,5.224863971371967,2.9015513629386964,-0.11264789043479925,0.0015433343179792507
6,ACT-CLJ0201.6-0211,VLASS1QLCIR J020141.73-021426.6,38.0,30.42389856613284,-2.2407404962245496,164.98829053989945,93.38529541152532,0.0005445728613048403,164.98829053406632,93.38529539645614,2.9999998634840455,2.9999999087957288,0.0,-8.916954094776316e-06,1.830725431388618,163.33526410027906,97.75007340228794,34.480757621939205,12.601778243882146,-3.5734476557828203,-0.048107598614073835
7,ACT-CLJ0201.6-0211,VLASS1QLCIR J020143.11-021147.8,37.0,30.42965921202191,-2.19662406063209,154.6268361242615,172.7948793027841,0.0007556349051451908,154.62683608588443,172.79487911869256,2.999999217682445,2.9999995353436875,0.0,-9.027862616189582e-06,5.6781305780496645,154.88057408163158,171.54182470898456,1.9162235201740547,3.4166015717381115,-0.041695129539572696,-0.0027266380660067
8,ACT-CLJ0201.6-0211,VLASS1QLCIR J020146.62-021157.5,33.0,30.44425745782034,-2.19931913307035,128.3693626842459,167.94354852464787,0.0009437964743142462,128.36936258951368,167.9435485202085,2.999999883679787,2.9999998887477717,0.0,-9.119608492426094e-06,5.750118367418424,128.0628942507302,168.5191799168375,3.1210615081656528,2.3798162914827503,0.6925067775302216,-0.0030564124493050143
9,ACT-CLJ0201.6-0211,VLASS1QLCIR J020147.83-021152.4,32.0,30.44931095381657,-2.19790742076926,119.2797289405169,170.4845016205226,0.0001923784587241748,119.279728985512,170.48450160605353,2.999999898430916,2.999999750588143,0.0,-8.724555148453545e-06,5.75820441307773,128.0607688652116,168.50864689515384,2.369381515149418,3.126884623267648,-0.8840101197956588,-0.0030543106066564327
10,ACT-CLJ0201.6-0211,VLASS1QLCIR J020150.11-021144.3,30.0,30.45883188188858,-2.19565549911193,102.15457190983153,174.5376344095589,0.0001524428164569765,102.15457190465402,174.53763439212145,2.9999999062722527,2.999999883154006,0.0,-8.703099998167922e-06,1.2790724745697626,102.83432742447498,180.07585618419236,8.614745323222836,5.255205119810139,-0.7180985390685687,-0.0039658691139541945
11,ACT-CLJ0201.6-0211,VLASS1QLCIR J020159.73-021120.9,-4.0,30.498914263370928,-2.18916514120515,30.05861590458639,186.21771816655246,0.0009378276748116936,30.058615983286487,186.21771809295706,3.0000000712785138,2.9999999560283213,0.0,-9.123739261241934e-06,1.7272336430469533,50.91440783045175,174.18254444929664,14.652082439323074,5.669667483988744,0.914066976822305,-0.009088981465163076
12,ACT-CLJ0201.6-0211,VLASS1QLCIR J020205.88-021209.4,25.0,30.52453928538842,-2.2026163095184303,-16.031257111162887,162.0029315049271,-0.0016607786528766155,-16.031257111162887,162.0029315049271,3.0,3.0,0.0,-8.623969795659085e-06,-0.16916191577911377,-16.031257111162887,162.0029315049271,3.0,3.0,0.0,-0.000500500469076047
